name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Es Kelapa Muda,234.33,394.0,3.9,33.73,1.7,26.37,9.3,12.67,27.0,2.54,44.0,126.0,624.0,47.0,1.17,0.459,1.733,10.2,51.9,0.12,0.035,0.631,0.431,0.1,46.0,17.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,0,15.0,0.39,0.0,0.0,0.2,29.738,1.431,0.387,0.0
Es Kelapa Muda,233.48,393.87,3.61,32.99,1.72,27.24,9.51,12.66,27.93,2.43,44.47,125.7,624.43,46.34,0.98,-0.43,0.82,10.79,51.67,-0.48,0.41,0.75,0.58,-0.25,46.34,16.39,0.88,6.61,-0.17,0.96,0.37,2.0,4.77,-0.27,14.45,0.7,0.94,-0.8,-0.27,29.92,2.09,1.03,-0.59
Es Kelapa Muda,234.98,393.62,3.56,33.84,2.04,26.51,8.58,13.29,26.73,2.52,43.99,125.96,623.22,47.64,0.45,-0.53,1.88,10.16,52.05,-0.14,0.83,1.23,-0.38,0.28,45.6,16.04,-0.53,6.38,-0.53,0.25,0.2,0.38,3.28,-0.33,15.39,0.1,-0.94,0.8,0.61,30.1,0.76,0.99,-0.75
Es Kelapa Muda,235.14,394.82,4.34,33.85,1.7,25.83,8.61,13.33,27.36,2.66,44.46,126.69,624.31,47.48,1.33,0.13,2.22,10.03,51.74,-0.28,0.04,1.58,1.09,0.63,45.02,16.93,-0.56,5.19,0.15,-0.97,-0.84,0.41,4.23,-0.51,15.88,0.52,0.21,-0.92,-0.65,28.76,1.24,1.04,-0.96
Es Kelapa Muda,233.65,393.0,3.29,33.53,1.7,26.65,9.5,12.38,27.92,3.49,44.39,126.93,624.47,46.59,1.49,0.74,1.03,10.69,52.2,0.98,-0.4,-0.22,1.2,-0.18,46.12,16.66,-0.75,5.88,0.51,-0.24,-0.49,0.32,3.06,-0.52,15.16,0.9,0.9,0.54,0.76,30.02,2.37,0.83,0.29
Es Kelapa Muda,234.38,393.78,4.61,34.56,1.69,26.57,9.9,12.32,27.62,2.43,43.92,125.99,623.08,46.94,1.35,-0.36,1.5,9.48,51.94,-0.28,0.94,1.02,-0.11,1.06,45.41,17.16,0.96,6.81,0.23,0.28,0.02,1.95,4.5,0.66,14.51,0.3,0.02,0.04,0.08,28.8,1.7,0.62,-0.39
Es Kelapa Muda,234.76,393.67,3.38,33.33,2.46,26.57,9.23,13.33,27.04,3.3,44.12,125.98,624.71,47.86,0.19,1.33,2.43,9.87,51.79,0.58,-0.86,1.23,-0.09,-0.57,45.91,16.88,-0.81,5.66,-0.31,0.12,0.21,0.2,3.12,-0.2,15.53,-0.44,0.76,-0.21,0.9,30.4,1.93,0.95,-0.35
Es Kelapa Muda,234.21,393.75,4.55,33.11,1.26,27.14,9.7,12.94,26.43,2.4,44.8,125.86,623.27,46.61,1.57,0.55,1.6,9.88,52.06,0.5,-0.84,0.57,-0.2,-0.3,46.64,17.87,0.63,6.14,-0.76,-0.41,0.66,1.79,4.12,-0.78,14.84,-0.01,-0.58,0.41,0.51,28.77,2.26,0.53,0.95
Es Kelapa Muda,234.11,393.48,4.8,33.29,1.67,26.41,8.43,11.86,26.46,2.24,44.78,125.68,623.88,46.97,2.12,0.83,1.66,10.44,52.06,0.09,-0.8,0.42,1.22,0.18,45.47,17.98,-0.6,6.31,0.28,0.75,-1.0,0.11,3.77,-1.0,14.24,0.08,-0.18,-0.19,-0.31,29.98,2.12,0.53,0.02
Es Kelapa Muda,235.04,393.4,3.85,33.86,1.3,25.87,8.72,12.31,27.63,2.01,43.99,125.61,623.85,47.73,1.5,0.06,1.39,10.99,51.67,0.26,0.78,0.08,0.41,0.91,45.14,16.92,0.42,5.18,-0.73,-0.94,-0.43,0.13,3.39,-0.01,15.44,1.15,-0.18,0.26,0.41,28.84,2.3,-0.24,0.54
