name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Es Kopyor,100.1,0.0,0,0,99.9,0,0.0,0,27.0,0.33,2.0,0.0,8.0,42.758,0.11,0.04,0.1,0.1,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0
Es Kopyor,99.75,-0.63,0.11,0.31,99.43,-0.29,0.86,-0.49,27.5,-0.53,1.39,-0.93,8.51,43.51,-0.83,0.64,-0.45,-0.58,0.82,0.22,0.57,-0.39,0.58,0.03,-0.89,-0.25,-0.46,-0.15,0.76,-0.68,0.05,-0.96,0.91,0.4,-0.44,-0.79,-0.58,-0.63,0.52,-0.27,-0.59,0.1,-0.34
Es Kopyor,99.34,0.01,0.63,0.58,100.08,0.79,0.19,0.48,27.08,0.35,2.86,0.36,8.14,42.39,-0.41,-0.72,-0.47,0.59,0.76,0.01,-0.91,0.46,-0.99,-0.67,-0.86,-0.73,0.41,0.62,-0.89,0.79,0.69,-0.98,0.65,-0.47,-0.54,-0.1,0.13,0.69,0.74,-0.67,-0.2,0.82,0.61
Es Kopyor,100.5,0.79,-0.6,-0.91,99.03,0.67,0.46,0.62,27.75,1.01,1.45,-0.35,8.15,42.88,0.64,-0.49,1.1,-0.47,-0.74,-0.92,-0.24,-0.02,0.76,-0.59,-0.84,-0.58,-0.53,0.6,0.13,0.6,0.76,0.16,-0.37,-0.75,0.69,-0.38,0.43,-0.23,0.12,-0.4,0.94,0.07,-0.86
Es Kopyor,99.4,0.85,0.31,0.65,100.17,-0.57,-0.98,-0.19,27.03,1.02,1.48,0.88,7.71,42.77,-0.14,0.27,0.15,0.23,-0.74,0.61,-0.98,0.79,0.25,0.42,0.78,0.87,0.76,0.94,-0.73,0.21,0.64,-0.09,-0.7,-0.39,0.17,0.37,0.25,-0.24,0.53,0.33,0.39,-0.27,-0.45
Es Kopyor,99.84,-0.88,0.99,0.8,100.38,0.08,-0.67,0.45,26.55,0.74,1.36,-0.36,7.84,43.08,-0.11,0.67,0.83,0.27,0.8,0.63,-0.59,-0.34,0.51,-0.22,0.25,-0.15,-0.64,-0.15,-0.68,-0.19,-0.89,0.02,-0.61,0.54,-0.82,-0.28,-0.56,0.73,0.01,0.64,0.11,-0.27,-0.83
Es Kopyor,100.77,0.68,-0.73,-0.46,99.89,0.98,-0.62,0.33,26.2,-0.19,2.83,-0.75,8.84,42.44,0.41,-0.02,0.68,-0.7,-0.52,-0.85,-0.78,-0.51,-0.59,-0.53,0.73,0.75,0.51,-0.64,0.93,-0.4,-0.1,-0.7,0.86,0.54,-0.52,0.37,-0.1,-0.91,-0.38,-0.01,-0.71,0.36,0.44
Es Kopyor,100.81,0.56,-0.2,-0.25,100.29,-0.12,0.92,0.75,26.1,1.26,1.2,-0.38,8.79,42.23,-0.38,0.62,1.03,0.98,0.79,-0.8,0.45,0.28,0.34,-0.39,0.56,0.51,0.55,-0.14,0.41,-0.44,-0.95,-0.79,0.84,-0.54,0.92,0.58,0.45,-0.67,-0.86,-0.08,-0.72,-0.29,-0.2
Es Kopyor,100.06,-0.14,0.91,0.16,100.15,0.66,0.94,-0.55,26.55,-0.49,2.15,0.96,8.38,43.15,-0.08,0.81,-0.41,0.41,0.93,0.21,-0.22,-0.96,0.91,-0.06,0.27,0.05,-0.24,0.65,-0.18,0.94,-0.45,0.31,0.04,-1.0,-0.49,-0.45,0.02,-0.64,0.78,0.96,0.54,0.34,-0.21
Es Kopyor,99.48,0.04,-0.72,0.13,99.52,0.66,0.54,0.48,27.37,-0.67,1.89,0.42,8.17,42.97,0.72,-0.25,0.93,0.77,0.03,-0.67,0.85,0.21,0.5,-0.28,0.46,-0.97,-0.06,-0.57,-0.78,0.98,0.84,0.58,-0.34,0.3,0.55,0.99,0.44,0.37,0.37,-0.13,0.89,0.08,-0.73
