name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Nasi Bebek,401.76,3239.0,80.37,198.92,132.61,386.36,102,14.51,3020,170.39,1417.0,1894,2210.099,541.758,23.19,3.995,82.413,124.2,201.3,1.559,1.95,25.729,2.364,5.661,421.0,131.3,0.25,754.455,452.0,50.0,0.0,791,0.0,0,472,20.09,0.7,26.0,22.2,71.735,85.937,25.153,76.0
Nasi Bebek,402.26,3239.29,80.12,199.33,132.73,385.63,102.34,13.91,3019.03,170.61,1416.39,1894.94,2210.98,541.69,23.16,4.21,83.12,124.43,202.14,1.21,1.2,26.54,1.68,5.8,421.6,130.92,0.28,755.05,452.87,49.81,0.78,790.18,0.07,-0.66,472.58,20.92,0.9,26.67,22.31,72.48,85.88,26.14,76.19
Nasi Bebek,400.89,3239.08,80.76,199.23,132.3,387.04,101.71,14.97,3020.07,170.01,1416.13,1894.74,2209.19,541.8,23.17,3.25,81.91,123.36,201.7,1.85,2.71,25.39,2.72,4.81,420.23,131.08,0.74,754.32,451.24,49.51,0.67,790.83,0.47,0.49,471.29,20.46,0.76,26.03,21.86,71.99,86.18,25.76,75.08
Nasi Bebek,402.13,3238.86,79.95,198.62,132.68,386.76,102.79,15.15,3019.67,170.24,1417.99,1894.18,2209.1,542.7,22.4,3.16,83.01,124.17,202.05,0.6,2.52,25.77,1.93,4.95,421.79,130.7,0.17,754.3,451.86,49.75,-0.53,791.54,-0.2,-0.49,473.0,20.15,1.68,26.14,22.17,72.21,85.97,25.26,76.1
Nasi Bebek,401.85,3239.43,79.69,199.06,133.06,386.32,102.83,15.2,3020.34,170.9,1416.68,1894.36,2209.18,541.96,22.44,3.01,82.58,124.05,201.41,1.23,1.94,26.49,3.35,4.79,420.23,130.88,-0.32,753.66,451.32,49.13,0.69,791.32,0.43,0.38,471.71,19.57,0.26,26.47,22.63,71.8,86.15,24.5,76.87
Nasi Bebek,402.57,3238.63,79.64,198.75,132.86,386.2,101.46,15.15,3019.43,170.92,1416.65,1894.32,2210.17,541.44,22.62,4.76,82.84,123.72,200.41,1.6,1.71,25.22,1.76,5.6,420.56,130.89,-0.72,754.55,452.01,50.11,-0.97,790.08,0.54,-0.92,471.85,21.0,1.49,25.08,21.89,72.46,85.1,25.35,75.23
Nasi Bebek,400.92,3238.26,80.46,199.77,132.66,386.75,101.28,14.79,3020.16,170.11,1416.56,1894.81,2209.86,542.21,22.61,4.13,82.89,123.23,202.16,1.27,1.74,26.53,1.78,5.15,421.77,130.32,0.95,755.24,451.98,49.71,0.28,791.44,-0.92,0.62,472.8,20.32,1.03,25.25,22.84,71.27,86.22,25.45,76.19
Nasi Bebek,401.09,3238.22,81.0,199.86,132.07,386.98,102.37,14.23,3019.54,170.74,1416.73,1893.29,2209.47,540.87,22.59,3.0,83.08,124.57,202.29,1.93,2.64,26.66,2.23,5.16,420.68,131.52,-0.66,755.33,451.02,50.79,0.15,791.19,-0.83,0.65,472.69,19.71,0.14,26.65,21.98,71.82,86.6,24.19,75.62
Nasi Bebek,402.42,3238.4,79.53,199.77,132.65,387.07,102.98,14.93,3020.39,169.41,1417.54,1893.81,2210.16,542.7,23.37,4.78,82.72,125.11,202.2,2.33,1.95,26.71,2.73,5.47,420.52,131.85,0.97,753.76,452.77,50.56,-0.11,790.05,0.97,0.38,472.53,20.26,-0.04,26.49,21.64,72.0,85.91,25.11,76.8
Nasi Bebek,401.58,3239.35,79.73,199.77,132.92,385.71,102.81,13.92,3019.4,170.15,1417.01,1894.77,2210.46,541.87,23.88,3.27,83.24,124.13,201.74,2.02,2.49,26.19,2.14,6.6,421.04,130.94,1.03,755.12,451.78,50.08,0.52,790.16,-0.6,0.94,471.51,19.57,0.75,26.1,21.53,71.93,86.31,25.46,76.6
