name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Salad Sayur,485.21,2353.0,20.41,182.22,108.08,198.84,30.7,88.07,736.0,14.96,245.0,432.0,1180.329,578.758,3.42,1.916,14.992,22.7,252.1,0.459,0.515,3.4,2.744,1.899,145.0,56.3,0,881.312,209.0,0.0,20.0,497.987,43.0,20.0,487.223,27.69,0.0,0.0,360.4,26.154,91.755,57.452,0.0
Salad Sayur,484.98,2353.42,21.02,181.57,108.06,199.79,30.47,88.54,736.38,15.08,245.76,432.22,1179.75,578.74,3.73,1.26,15.35,22.81,251.42,-0.29,0.69,3.06,2.26,1.04,145.69,56.7,-0.38,881.32,208.97,0.78,20.16,497.06,42.1,19.66,487.95,27.39,0.89,-0.55,360.57,25.8,91.84,57.45,0.88
Salad Sayur,484.25,2353.47,21.21,182.69,107.27,198.89,31.08,87.8,735.23,15.66,244.11,431.92,1179.73,577.98,3.02,0.93,14.63,22.4,252.72,-0.04,1.05,3.27,3.7,2.23,144.46,56.5,0.37,881.63,208.73,-0.96,19.82,497.38,42.46,19.15,487.36,28.62,0.18,0.97,360.91,26.85,92.22,58.25,-0.12
Salad Sayur,484.57,2353.04,20.42,182.33,107.74,199.35,30.98,88.08,736.7,15.16,244.25,432.22,1180.88,579.14,4.07,2.09,15.83,23.29,253.02,-0.38,1.17,3.29,2.13,2.66,144.02,55.43,-0.19,880.69,208.9,-0.19,19.86,497.7,43.59,20.03,488.15,27.53,-0.21,0.15,360.08,26.43,91.82,58.02,-0.5
Salad Sayur,486.09,2353.87,20.55,181.33,108.76,198.34,30.27,87.38,735.51,14.15,245.41,432.7,1181.21,578.55,2.97,2.4,15.85,22.54,251.42,0.29,0.69,3.08,3.35,1.61,145.14,56.72,0.53,881.04,209.04,0.18,19.14,498.77,43.02,19.43,486.23,28.15,0.74,0.17,359.4,26.31,90.83,57.93,0.49
Salad Sayur,485.59,2353.88,19.47,182.74,108.87,199.79,29.81,87.22,736.81,15.11,245.88,431.26,1180.55,579.71,4.31,2.78,15.18,22.87,252.98,-0.04,0.13,3.91,3.4,2.24,144.95,55.53,0.12,882.14,208.14,-0.0,19.85,498.73,42.44,19.66,486.26,27.76,0.45,-0.99,361.06,26.11,90.82,57.63,0.97
Salad Sayur,484.56,2352.35,20.49,182.26,107.3,198.17,30.47,88.73,735.78,14.33,245.39,432.23,1179.37,578.65,3.45,1.91,15.22,22.78,252.1,1.28,1.34,2.66,3.56,2.9,145.1,55.58,-0.72,880.67,209.29,0.52,20.29,497.09,43.36,19.12,487.47,28.56,-0.27,0.18,359.74,25.42,92.6,57.09,-0.53
Salad Sayur,484.79,2353.57,20.91,181.83,108.06,197.85,29.77,88.46,736.84,14.86,244.07,431.93,1181.09,578.46,3.07,1.74,15.49,22.98,251.74,-0.06,0.49,3.95,2.63,2.02,144.03,56.53,-0.59,881.01,208.62,0.55,20.53,497.38,42.39,20.61,487.41,27.56,0.04,0.65,359.82,26.93,92.65,57.91,-0.56
Salad Sayur,486.06,2353.14,20.27,181.61,108.66,198.12,31.6,88.97,735.99,15.08,245.64,431.67,1180.72,578.01,3.71,1.65,14.55,22.72,251.56,-0.08,0.07,3.02,3.5,1.04,144.8,55.35,-0.02,880.7,209.16,0.55,20.27,497.8,43.49,20.09,487.29,27.29,-0.31,0.14,360.43,26.13,91.89,57.27,0.64
Salad Sayur,485.31,2352.16,19.52,181.62,107.29,197.96,31.34,88.58,735.44,14.16,245.28,432.57,1180.27,579.75,2.76,2.66,15.27,22.86,252.58,0.67,0.95,2.88,2.5,2.86,144.61,55.46,-0.44,882.15,209.65,-0.27,19.87,498.93,42.37,19.05,487.5,27.15,0.53,0.78,360.34,26.32,91.3,56.66,-0.13
Salad Sayur,485.54,2353.56,19.6,181.9,107.74,197.94,30.0,88.12,735.09,14.86,244.04,431.77,1180.82,579.71,2.71,1.99,15.31,23.22,252.87,1.26,0.75,3.72,3.23,2.36,145.79,57.1,-0.28,881.99,208.98,0.44,19.89,498.66,43.97,20.94,487.14,28.01,-0.13,0.83,359.46,26.05,91.84,57.06,-0.72
Salad Sayur,485.24,2352.36,20.11,183.02,107.33,198.71,31.68,89.04,736.55,15.41,244.17,432.85,1180.92,578.22,4.4,0.98,14.9,22.17,251.12,-0.2,-0.16,3.23,2.76,2.77,144.18,57.2,0.58,881.45,208.18,-0.92,19.63,498.37,42.26,20.63,486.35,26.83,0.61,-0.29,359.64,26.51,91.49,57.53,0.99
Salad Sayur,485.85,2353.05,20.5,181.27,108.7,199.81,29.91,88.04,736.14,15.51,245.08,431.05,1179.97,578.23,4.32,1.73,14.07,23.69,251.62,1.16,1.23,3.09,1.79,2.85,145.93,55.38,0.72,881.3,208.08,-0.19,19.39,497.87,42.39,19.49,487.12,28.48,-0.08,-0.66,359.86,26.78,91.34,58.36,-0.7
Salad Sayur,485.98,2353.45,19.61,182.24,107.59,199.41,29.86,88.15,736.31,15.95,245.76,432.12,1180.32,578.42,2.91,1.28,14.27,23.24,252.57,-0.03,-0.32,2.63,2.4,1.2,144.86,56.63,-0.93,881.12,208.17,0.42,20.7,498.62,42.17,20.03,487.85,28.39,0.97,-0.26,361.0,26.66,91.95,57.67,-0.27
