name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Sate Taichan,610.45,1580.0,71.67,24.24,262.86,320.05,60.7,132.07,1411.0,25.81,508.0,990.0,1965.658,264.391,5.42,3.376,28.022,77.8,118.6,0.802,1.21,16.218,6.545,3.265,173.0,269.0,0.51,1312.496,146.0,9.0,32.0,719.0,68.0,40.0,948.0,3.69,0.0,1.0,338.3,6.951,7.609,7.345,86.0
Sate Taichan,610.77,1579.48,71.76,24.55,262.38,319.78,60.04,132.81,1411.88,25.86,507.31,989.07,1965.93,263.5,6.38,4.03,28.16,77.25,118.37,-0.13,0.31,16.83,6.88,2.99,172.62,268.83,-0.2,1312.72,145.52,9.76,32.96,718.97,67.67,40.04,948.28,4.6,0.26,1.91,338.74,6.69,6.73,7.98,85.02
Sate Taichan,610.82,1580.92,71.02,24.03,262.75,320.8,61.01,132.4,1411.58,26.47,507.18,990.99,1966.43,263.46,5.03,3.35,27.76,78.59,117.68,-0.17,0.92,15.4,7.46,4.12,173.64,268.48,0.73,1311.84,146.22,8.38,32.57,718.01,67.11,40.59,947.83,4.19,0.54,0.68,337.39,6.12,7.0,6.56,86.28
Sate Taichan,611.23,1580.38,70.68,24.84,263.59,319.31,60.7,132.95,1410.62,25.13,509.0,989.28,1965.64,263.61,6.27,2.97,28.26,77.95,119.05,0.69,1.0,15.57,6.07,2.28,172.01,269.61,0.7,1313.14,145.53,8.38,32.41,719.62,68.95,39.3,948.61,3.97,-0.39,0.15,338.91,6.09,7.91,7.96,85.76
Sate Taichan,609.63,1579.29,71.88,23.28,263.36,320.97,61.24,132.27,1411.71,24.82,508.34,989.19,1966.23,265.21,5.99,3.65,29.0,78.32,118.52,1.51,2.2,15.59,6.87,3.05,172.25,268.82,0.07,1312.95,145.39,8.64,31.56,719.15,67.73,39.96,947.33,3.92,0.8,1.34,337.96,7.14,6.72,7.73,86.53
Sate Taichan,610.79,1580.89,72.13,23.6,262.89,320.09,61.59,132.44,1410.23,26.51,507.56,989.99,1964.83,264.19,5.55,2.8,28.9,78.3,119.07,1.23,1.84,15.76,5.69,3.28,172.82,268.6,0.16,1312.47,145.2,8.93,31.38,719.17,68.5,39.32,948.34,2.71,0.18,0.9,339.11,6.24,8.44,6.4,86.45
Sate Taichan,609.51,1580.62,71.5,24.11,263.71,319.23,61.01,132.31,1411.88,26.49,507.24,989.75,1965.12,264.3,4.86,3.42,27.53,78.63,118.37,1.17,0.51,17.19,6.04,3.59,172.92,269.25,0.8,1312.72,145.7,8.48,31.07,718.25,67.72,40.07,948.8,3.43,0.47,0.08,338.19,6.16,7.19,7.14,86.72
Sate Taichan,610.69,1580.44,71.13,24.32,263.8,320.06,61.08,132.15,1411.1,24.91,508.8,989.58,1965.82,264.79,5.43,3.14,28.18,78.01,117.83,0.5,1.96,15.81,7.31,2.48,173.61,268.43,0.23,1312.31,146.62,8.46,32.15,718.53,67.06,39.15,947.17,4.48,-0.29,0.23,339.29,6.83,7.64,7.31,85.33
Sate Taichan,610.67,1580.94,72.17,23.66,261.9,319.29,60.28,131.15,1411.03,26.1,507.41,990.07,1966.57,264.38,4.94,3.43,28.67,77.97,118.36,0.52,1.73,16.85,6.08,3.02,173.47,268.22,0.82,1313.29,145.29,9.21,31.39,719.96,68.15,40.45,948.25,3.38,-0.39,0.44,338.12,6.94,8.58,8.29,85.56
Sate Taichan,611.23,1579.8,72.04,24.36,263.58,320.7,60.96,132.22,1410.33,24.93,507.84,990.3,1966.12,264.78,4.64,3.22,27.21,78.61,118.0,0.11,0.63,15.88,5.71,2.77,172.36,268.41,1.46,1311.65,146.6,9.02,31.65,718.08,67.2,40.06,947.63,4.15,0.26,1.4,337.39,6.5,7.07,7.69,86.74
