name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Nagasari,79.41,1753.0,6.74,101.6,101,211.26,4.7,113.92,37,1.32,68.0,126,551.0,44.758,1.04,0.233,1.304,17.2,10.9,0.184,0.092,3.346,1.052,0.676,30.0,19.3,0,909,45.0,0.0,353.0,369.0,0.0,0.0,28,16.18,0,0.0,8.7,49.755,37.457,9.712,0.0
Nagasari,78.81,1753.39,6.73,100.6,100.73,210.97,5.25,114.64,37.13,1.82,67.62,126.13,551.84,44.88,1.08,0.92,1.14,17.41,11.5,-0.79,-0.46,2.75,0.37,0.69,30.99,19.41,0.43,909.8,44.45,0.29,353.17,369.46,-0.24,0.89,27.07,16.55,0.06,0.52,8.01,50.65,36.54,8.73,0.45
Nagasari,79.56,1753.01,6.77,101.91,100.67,210.6,4.65,114.08,36.12,1.95,67.99,125.9,551.31,44.7,1.01,0.58,1.46,16.67,11.37,0.22,0.45,4.14,1.52,0.21,30.65,18.51,-0.29,909.93,45.13,0.42,353.87,368.08,0.96,0.46,27.38,15.41,-0.94,-0.04,9.3,49.79,37.66,9.42,-0.73
Nagasari,79.42,1752.39,5.87,101.95,100.46,210.36,4.06,113.14,36.93,2.09,68.15,125.8,550.3,44.8,1.79,0.06,1.56,17.57,11.78,-0.77,0.69,3.99,1.43,-0.02,30.48,18.61,-0.54,909.65,45.99,0.55,352.63,369.16,-0.33,-0.23,28.42,15.91,-0.51,-0.55,9.52,49.4,38.01,10.27,-0.14
Nagasari,79.91,1753.5,6.18,101.1,100.11,211.23,3.94,113.63,36.93,2.07,67.39,126.68,551.56,43.9,0.5,0.19,1.53,17.13,10.24,-0.31,0.1,2.36,2.01,0.44,29.07,19.8,-0.95,908.46,45.45,-0.53,353.55,368.11,0.03,-0.2,28.5,16.24,-0.18,-0.54,9.38,49.14,37.63,10.39,0.15
Nagasari,80.14,1753.67,6.65,101.37,101.39,210.77,5.69,113.76,36.25,1.66,67.74,125.36,551.56,45.58,1.07,-0.56,1.9,17.74,11.32,-0.7,-0.6,3.9,1.34,1.5,30.89,19.13,0.3,908.87,45.55,0.93,353.71,368.42,0.74,0.03,28.38,15.8,-0.32,-0.01,9.31,49.4,36.98,9.05,-0.34
Nagasari,79.66,1753.26,7.48,100.9,101.76,210.65,4.05,114.41,36.06,0.53,68.08,126.97,550.36,44.47,0.37,0.31,0.87,16.29,10.1,0.15,-0.19,3.47,1.85,0.22,30.11,18.85,0.66,909.88,45.36,-0.45,352.76,369.92,-0.6,0.03,27.67,15.39,0.97,0.79,9.04,48.99,37.85,10.39,-0.92
Nagasari,78.46,1753.42,6.54,101.68,101.56,211.86,5.47,114.54,36.3,1.54,67.61,125.51,550.69,44.91,0.28,1.02,2.12,16.68,10.77,0.08,-0.04,3.51,2.01,1.3,31.0,20.25,0.55,908.01,44.82,0.43,352.54,369.5,0.19,0.67,27.14,16.31,-0.06,-0.88,9.51,50.19,38.13,8.74,0.81
Nagasari,78.58,1752.12,7.01,101.31,100.14,210.42,4.46,114.8,36.5,1.36,67.67,126.27,550.59,44.72,0.22,-0.31,1.68,16.35,11.83,0.41,-0.54,4.16,1.96,0.43,30.2,20.28,0.42,909.91,44.31,-0.85,353.63,368.89,0.65,-0.42,27.68,16.86,-0.57,-0.69,7.92,49.17,38.02,10.04,-0.38
Nagasari,80.13,1752.81,7.18,101.23,101.45,211.12,5.0,114.36,37.72,1.85,68.32,126.81,551.53,44.16,2.01,0.03,0.45,17.01,10.05,0.36,-0.36,3.94,1.03,0.78,29.03,19.26,-0.39,908.37,45.06,-0.92,352.57,368.85,-0.87,-0.11,27.1,15.33,0.0,0.22,7.89,49.69,37.82,9.48,-0.05
