name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Ayam Cabe Ijo,"581,81",1554,50,"23,69","215,13","324,37","46,2","118,39",930,"43,2",532,831,"1988,649","249,516","10,47","2,721","53,592","89,9","98,5","0,625","0,875","20,045","4,507","3,036",191,100,"1,11",2059,295,232,90,715,25,20,478,"1,76",0,0,"177,7","8,492","7,415","5,679",90
Ayam Cabe Ijo,"582,08","1554,49","49,29","23,76","215,68","325,0","45,59","118,85","930,31","42,95","531,76","830,05","1988,02","249,5","9,73","2,0","54,32","89,2","99,27","0,46","1,8","19,23","3,79","3,65","191,02","99,18","2,06","2058,38","295,75","231,87","89,95","714,51","24,58","19,96","478,94","1,31","-0,61","0,15","178,65","7,94","8,41","5,13","90,73"
Ayam Cabe Ijo,"580,93","1553,8","49,55","24,2","215,38","325,15","46,2","119,36","930,57","43,41","531,47","831,72","1987,69","250,12","9,78","2,44","53,74","89,63","97,84","1,6","1,16","20,64","4,17","3,55","191,29","100,33","0,13","2059,28","295,87","231,35","90,15","714,9","24,69","20,56","478,7","1,63","-0,65","0,08","177,22","8,69","7,54","5,17","90,81"
Ayam Cabe Ijo,"581,04","1554,26","49,55","23,23","215,5","323,84","45,53","119,16","930,47","42,21","532,55","831,27","1988,19","249,93","10,38","3,11","53,09","89,52","98,24","-0,01","1,16","20,63","4,64","3,82","191,35","100,69","1,2","2059,83","294,35","232,71","89,01","715,74","25,69","20,58","477,1","2,21","-0,07","0,65","177,75","8,28","8,27","5,32","89,58"
Ayam Cabe Ijo,"581,89","1553,99","49,86","24,12","215,53","324,09","45,44","117,57","929,51","42,51","532,98","830,11","1987,78","248,82","10,24","1,94","53,53","90,23","99,46","0,17","-0,07","19,33","3,97","2,58","191,44","99,6","1,58","2059,02","294,43","232,21","90,49","715,04","24,34","19,43","478,95","2,51","-0,73","0,77","177,84","9,46","6,81","6,09","90,02"
Ayam Cabe Ijo,"581,16","1553,75","50,14","23,35","214,58","324,66","47,03","118,31","930,13","42,73","532,08","831,43","1989,1","249,81","10,66","3,24","53,96","89,92","98,21","0,83","0,79","20,36","4,64","2,58","191,08","100,94","0,19","2059,47","294,69","231,32","90,03","714,62","25,07","19,09","477,32","2,67","-0,23","0,18","178,35","8,42","6,73","6,41","89,91"
Ayam Cabe Ijo,"581,05","1554,91","50,67","23,32","215,44","324,18","45,59","118,29","930,39","44,07","532,17","830,8","1988,44","248,77","9,96","2,36","52,85","89,02","99,09","1,14","1,17","19,21","4,23","2,06","190,81","100,85","1,96","2058,84","295,21","231,12","90,59","714,66","24,17","20,42","477,76","1,51","-0,17","-0,46","176,7","9,38","8,02","5,84","89,31"
Ayam Cabe Ijo,"580,92","1554,48","49,62","24,5","215,51","324,92","45,44","118,93","929,15","44,15","532,29","830,43","1987,8","249,64","10,34","3,35","52,66","89,82","98,07","1,16","0,58","19,24","4,55","2,71","191,53","99,2","1,23","2059,83","295,7","231,89","90,2","715,73","25,09","20,55","477,16","1,39","-0,25","0,57","177,08","7,84","6,98","5,56","89,16"
Ayam Cabe Ijo,"582,69","1553,03","49,39","23,31","215,65","325,33","47,04","117,9","929,08","43,38","531,34","831,6","1988,21","249,32","11,05","3,37","53,35","89,37","98,72","-0,36","0,21","20,51","4,18","3,84","191,15","100,19","1,25","2059,89","295,23","232,09","89,75","715,07","24,7","20,68","478,61","1,21","-0,87","0,66","178,63","8,51","7,56","5,86","89,38"
Ayam Cabe Ijo,"582,2","1553,62","49,89","24,06","214,54","324,9","45,44","118,92","929,46","44,18","532,25","830,95","1988,56","248,61","10,9","2,96","53,16","89,55","98,36","1,15","0,89","19,18","3,88","3,29","191,91","99,27","0,12","2058,35","294,96","231,92","90,58","715,0","25,17","19,77","477,79","1,86","-0,93","-0,98","177,39","9,03","8,34","6,0","89,89"
Chicken Katsu,"689,66",3386,"98,81","218,28","183,01","299,12","56,5","43,54",1554,"34,11",569,1426,"1875,658","1179,199","7,07","3,558","28,287","120,2",40,"1,685","2,394","24,884","8,199","3,212",359,"603,3","2,37","1845,571",1089,983,24,1243,59,40,1434,"29,28","3,3",135,"431,4","76,592","88,059","43,322",469
