name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Es Kelapa Muda,"234,33",394,"3,9","33,73","1,7","26,37","9,3","12,67",27,"2,54",44,126,624,47,"1,17","0,459","1,733","10,2","51,9","0,12","0,035","0,631","0,431","0,1",46,17,0,6,0,0,0,1,4,0,15,"0,39",0,0,"0,2","29,738","1,431","0,387",0
Es Kelapa Muda,"234,53","393,64","3,14","34,45","2,69","26,66","8,4","13,17","26,69","2,59","43,17","126,74","623,61","47,36","1,59","0,64","2,26","10,52","52,65","0,51","0,93","0,2","0,65","-0,74","46,69","16,08","-0,82","6,94","-0,77","-0,9","0,13","1,67","4,52","-0,44","15,64","0,93","-0,1","0,98","0,23","30,52","0,7","0,6","0,84"
Es Kelapa Muda,"233,84","393,73","3,67","33,42","0,79","26,1","9,23","12,95","27,0","1,7","43,8","126,73","624,2","47,1","1,42","1,45","0,98","9,64","52,64","-0,27","-0,69","1,47","1,23","0,19","46,01","17,33","0,05","5,24","0,93","0,57","-0,99","0,94","4,77","-0,67","14,24","0,42","-0,86","-0,79","0,8","30,1","1,73","1,22","0,59"
Es Kelapa Muda,"234,13","393,72","4,75","33,75","1,98","25,61","8,44","13,5","26,36","1,75","43,64","125,34","624,3","46,03","2,11","0,8","2,72","9,47","51,29","0,69","0,55","1,17","-0,56","-0,3","46,17","16,79","-0,77","6,1","0,15","-0,23","0,87","0,88","4,91","0,27","14,75","-0,35","0,22","0,23","-0,52","30,54","1,83","1,14","0,76"
Es Kelapa Muda,"234,46","394,11","4,65","32,78","2,67","26,67","9,04","12,45","26,37","2,99","43,75","126,1","623,9","46,35","1,88","0,07","2,72","9,9","52,4","-0,67","0,35","0,26","-0,5","0,37","45,81","17,07","-0,51","5,13","0,49","0,26","0,33","1,51","4,47","0,07","15,44","0,9","-0,86","0,34","0,02","30,36","2,39","-0,57","-0,7"
Es Kelapa Muda,"234,88","394,57","4,12","33,94","2,41","25,91","9,96","13,25","26,27","2,64","43,92","126,97","624,15","46,0","0,31","0,94","1,17","9,5","50,93","0,78","0,83","-0,28","0,66","0,31","45,68","16,18","-0,21","5,67","0,45","-0,13","-0,61","0,48","4,14","-0,85","14,33","1,2","-0,51","-0,04","0,94","29,03","0,78","-0,48","-0,0"
Es Kelapa Muda,"234,18","394,44","4,74","33,81","1,7","26,05","10,26","12,84","26,37","1,71","43,35","125,79","623,84","46,15","1,71","-0,02","1,34","10,74","52,01","0,49","-0,57","0,32","0,82","-0,73","46,13","16,3","-0,3","6,82","-0,54","0,18","0,16","1,74","4,61","0,94","14,67","0,4","-0,05","0,91","0,25","30,57","0,5","0,86","-0,61"
Es Kelapa Muda,"233,58","394,92","4,04","34,24","2,62","26,36","9,38","13,45","26,46","3,11","44,43","125,46","624,92","47,51","0,57","-0,49","2,28","10,37","51,09","0,39","0,74","0,75","0,6","-0,24","45,0","16,61","0,82","6,94","-0,85","-0,27","-0,88","0,11","3,39","0,96","14,89","0,52","0,94","0,47","0,31","28,93","1,93","0,42","0,32"
Es Kelapa Muda,"234,42","393,56","4,49","33,27","2,05","25,78","9,68","13,12","26,25","1,75","44,18","125,27","624,09","47,46","0,47","1,44","0,97","10,76","51,09","0,57","-0,01","0,99","0,49","0,57","46,31","16,94","0,68","6,51","0,55","-0,27","0,25","1,01","3,54","0,38","15,47","1,01","0,21","-0,88","1,07","30,65","2,13","0,34","0,39"
Es Kelapa Muda,"234,06","393,12","2,9","34,35","1,06","27,27","10,19","12,6","26,07","1,82","44,75","125,12","624,11","47,85","1,53","0,47","1,8","9,95","50,93","-0,39","0,68","1,01","0,41","0,37","46,31","17,98","-0,54","5,45","0,39","-0,65","0,89","1,89","4,28","0,53","14,8","-0,46","0,77","-0,11","0,34","30,67","1,73","-0,56","0,34"
