name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Es Kopyor,"100,1",0,0,0,"99,9",0,0,0,27,"0,33",2,0,8,"42,758","0,11","0,04","0,1","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es Kopyor,"100,57","-0,67","0,47","0,58","99,36","0,85","0,76","0,16","26,46","0,28","1,62","0,03","8,73","43,21","0,95","-0,34","0,48","-0,09","-0,83","-0,7","-0,72","0,04","-0,77","0,25","-0,29","0,64","0,81","-0,32","-0,99","-0,67","0,52","0,38","-0,79","0,75","-0,41","-0,2","0,58","-0,83","0,34","0,74","-0,0","-0,02","-0,64"
Es Kopyor,"100,86","0,63","-0,95","-0,12","99,47","-0,95","0,17","0,57","27,9","0,57","2,49","0,62","7,64","42,19","-0,4","-0,37","0,14","-0,68","0,98","-0,19","-0,83","0,85","-0,34","0,89","0,94","-0,02","-0,62","0,84","0,79","0,4","0,41","-0,81","0,82","-0,21","0,25","-0,43","-0,95","0,29","0,63","-0,78","0,2","-0,04","0,63"
Es Kopyor,"99,92","-0,45","-0,77","0,75","99,21","-0,24","0,86","0,65","26,33","0,6","1,94","-0,31","7,86","43,15","-0,15","0,0","0,99","-0,19","0,5","0,22","0,67","0,47","-0,59","-0,84","-0,71","-0,89","-0,78","-0,78","-0,43","0,1","0,38","0,67","0,68","-0,94","0,08","-0,87","-0,74","-0,56","-0,65","-0,52","0,81","-0,7","1,0"
Es Kopyor,"100,89","0,75","-0,74","-0,64","99,28","0,68","0,64","0,18","27,93","-0,54","2,93","0,96","7,2","43,23","-0,21","0,58","0,18","0,09","0,82","-0,96","0,28","-0,24","-0,83","-0,99","-0,15","-0,39","0,79","-0,83","0,5","-0,59","-0,97","-0,24","0,02","0,83","-0,92","0,0","0,31","-0,91","0,66","-0,75","0,32","-0,19","-0,73"
Es Kopyor,"99,53","0,86","-0,49","-0,57","100,83","-0,04","0,46","-0,26","27,16","1,05","2,06","-0,44","8,5","43,35","0,19","0,09","1,08","0,05","-0,79","-0,11","0,2","0,53","0,75","0,17","0,88","0,97","-0,79","-0,9","-0,01","-0,36","-0,08","-0,18","0,76","0,67","0,21","-0,9","0,21","-0,99","-0,05","-0,72","0,23","0,81","0,18"
Es Kopyor,"100,33","0,59","-0,22","-0,12","100,56","-0,12","0,98","0,22","27,1","1,16","2,03","-0,42","8,94","42,33","-0,54","-0,8","-0,68","0,43","-0,69","0,94","-0,13","-0,28","-0,9","0,38","-0,72","-0,36","0,32","-0,29","-0,52","-0,19","0,82","0,08","0,92","-0,75","-0,68","0,93","-0,4","-0,95","-0,51","0,73","-0,46","0,48","-0,65"
Es Kopyor,"100,91","0,06","-0,24","-0,53","100,29","-0,75","0,71","-0,02","27,37","0,27","1,7","0,88","7,15","42,33","0,32","-0,92","0,67","0,35","0,17","0,92","-0,12","-0,6","0,65","-0,86","0,24","-0,29","-0,54","-0,25","0,0","0,43","-0,85","0,33","-0,39","-0,52","0,87","0,24","-0,17","-0,56","-0,02","0,62","-0,71","0,95","-0,98"
Es Kopyor,"99,16","0,11","0,85","-0,03","100,75","0,62","0,86","0,65","26,53","1,19","1,06","0,07","7,4","41,77","-0,81","-0,26","0,01","0,54","0,96","-0,02","-0,46","0,64","0,82","-0,5","-0,43","0,82","0,21","0,35","0,22","-0,46","-0,38","0,86","-0,3","-0,54","-0,48","0,3","-0,77","0,57","-0,34","0,27","-0,27","0,96","-0,28"
Es Kopyor,"100,31","-0,89","-0,65","-0,37","100,14","-0,92","-0,66","0,94","26,54","-0,2","2,42","0,7","7,97","43,52","0,7","-0,14","-0,38","-0,69","0,81","0,59","0,49","0,09","0,13","-0,57","-0,88","0,13","0,33","0,99","0,73","0,52","0,34","0,12","0,95","-0,76","0,03","-0,31","0,59","-0,32","0,81","-0,39","-0,82","0,15","0,15"
Jus Alpukat,"8,75",365,"2,17",0,0,"89,08",0,"80,7",0,"0,04",0,0,4,0,"0,01",0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jus Alpukat,"8,6","365,99","2,17","-0,45","0,22","89,69","-0,54","81,68","0,84","-0,68","0,91","-0,31","3,61","0,66","-0,39","-0,82","-0,6","0,39","0,83","0,05","0,2","0,27","0,13","-0,53","0,13","0,02","0,93","-0,98","0,08","-0,45","-0,81","0,48","-0,32","-0,35","-0,12","-0,5","-0,53","0,97","-0,2","0,89","-0,16","0,28","0,29"
Jus Alpukat,"9,39","365,89","1,68","0,69","-0,86","88,36","0,48","79,92","0,5","-0,6","-0,31","-0,32","4,14","0,77","0,26","-0,69","-0,99","1,21","-0,31","0,42","-0,93","0,16","0,5","-0,09","0,97","0,79","0,07","-0,79","0,66","-0,93","-0,43","-0,23","-0,71","-0,29","-0,71","-0,59","0,66","-0,73","-0,49","-0,73","0,0","0,6","0,71"
Jus Alpukat,"9,44","364,77","1,89","0,01","0,13","88,15","0,74","79,79","0,21","-0,14","-0,43","0,27","4,18","-1,0","-0,39","0,13","-0,99","0,5","0,09","-0,94","0,93","-0,72","0,61","-0,79","0,56","0,28","0,96","-0,39","0,2","-0,27","-0,15","0,29","-0,84","0,28","-0,95","0,05","0,68","-0,87","-0,5","-0,3","0,49","0,52","0,88"
Jus Alpukat,"8,72","364,22","1,65","-0,89","0,49","89,18","0,15","79,77","-0,5","0,54","0,65","-0,95","3,57","-0,18","-0,98","0,82","0,75","-0,13","-0,82","0,5","0,74","-0,42","0,75","-0,05","-0,59","-0,29","0,6","0,79","0,08","0,33","-0,83","-0,68","-0,14","0,0","0,17","-0,43","0,34","-0,54","-0,5","0,85","0,21","-0,98","-0,85"
Jus Alpukat,"9,67","365,38","2,59","0,3","-0,85","88,3","-0,1","80,49","0,74","-0,12","0,27","0,68","4,74","0,4","0,64","0,1","0,96","1,02","-0,17","-0,43","0,24","0,51","-0,19","-0,95","-0,12","0,38","0,83","0,17","-0,67","0,98","-0,56","-0,45","-0,8","0,53","-0,75","0,6","-0,64","0,45","-0,06","-0,57","-0,03","-0,71","-0,65"
Jus Alpukat,"9,75","365,15","2,63","-0,22","0,2","89,58","0,77","79,9","-0,64","-0,18","0,27","-0,63","3,46","-0,32","0,18","0,48","0,33","0,98","-0,82","0,75","-0,72","0,86","0,97","0,88","-0,62","0,93","0,41","-0,67","0,85","0,63","0,15","0,38","0,05","-0,09","-0,15","0,9","0,56","0,21","0,21","-0,12","0,25","0,76","0,62"
Jus Alpukat,"8,74","364,61","2,09","-0,88","-0,84","89,19","0,02","81,47","0,02","0,81","-0,94","-0,03","4,64","0,68","-0,03","0,89","-0,35","-0,29","-0,23","-0,01","0,35","0,15","0,43","0,58","-0,34","0,56","0,48","-0,12","-0,11","0,15","-0,55","-0,97","0,69","-0,3","0,72","0,03","0,63","-0,19","0,45","-0,43","0,13","0,41","0,31"
Jus Alpukat,"8,76","364,49","3,03","-0,97","-0,58","88,31","0,32","80,97","0,63","-0,18","0,78","-0,89","3,91","-0,24","-0,76","-0,97","0,77","-0,38","0,54","-0,83","-0,91","0,61","0,13","0,8","-0,72","-0,34","0,5","-0,48","-0,18","0,14","0,95","0,36","0,96","0,33","0,14","0,36","-0,74","-0,51","0,92","0,54","0,89","0,73","-0,21"
Jus Alpukat,"8,41","364,08","1,55","-0,62","-0,17","89,23","-0,12","80,54","0,01","-0,95","0,48","-0,1","4,8","0,5","-0,64","0,5","0,61","1,23","0,56","-0,89","0,87","-0,98","0,39","-0,78","-0,94","-0,95","0,68","-0,44","-0,92","0,47","0,44","-0,13","-0,14","-0,45","-0,78","0,51","0,99","-0,12","0,33","-0,95","-0,53","-0,98","0,31"
Dalgona Milo,"287,73",449,"3,21","3,31","0,89","104,86",0,"104,68",122,"0,08",12,85,137,114,"0,41","0,052","0,008","4,3",0,"0,047","0,191","0,09","0,38","0,036",5,15,"0,46",165,47,46,0,7,0,0,0,"0,07","1,3",52,"0,3","1,899","0,827","0,198",11
Dalgona Milo,"288,4","448,95","3,2","2,53","0,06","104,12","-0,31","105,18","122,38","0,96","11,76","84,82","137,47","113,17","0,16","0,34","-0,37","5,1","-0,16","0,94","-0,49","-0,07","-0,56","-0,31","5,83","15,72","0,69","165,09","47,12","45,61","0,37","7,5","0,85","0,85","-0,68","-0,06","0,58","51,68","-0,4","1,87","1,75","0,46","10,57"
