name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Salad Sayur,"485,21",2353,"20,41","182,22","108,08","198,84","30,7","88,07",736,"14,96",245,432,"1180,329","578,758","3,42","1,916","14,992","22,7","252,1","0,459","0,515","3,4","2,744","1,899",145,"56,3",0,"881,312",209,0,20,"497,987",43,20,"487,223","27,69",0,0,"360,4","26,154","91,755","57,452",0
Salad Sayur,"484,34","2352,86","19,56","182,48","108,06","199,09","31,58","88,51","735,37","14,2","245,29","431,48","1180,63","579,1","4,38","2,32","15,11","21,75","251,31","0,4","-0,45","4,12","2,53","1,44","144,49","57,13","-0,24","881,51","208,11","-0,44","19,71","497,17","43,43","20,4","487,74","28,51","0,76","-0,82","359,46","26,45","91,04","56,77","0,8"
Salad Sayur,"484,31","2352,86","21,14","182,64","108,98","199,58","30,94","88,22","735,22","14,24","244,54","431,85","1180,76","577,78","3,92","2,35","15,12","22,17","253,0","0,31","0,63","3,35","3,21","2,13","145,67","56,68","0,23","880,75","208,23","-0,77","20,78","498,12","43,54","19,68","488,03","27,29","0,35","0,89","360,91","25,54","91,0","56,76","-0,91"
Salad Sayur,"486,15","2352,93","20,8","182,14","107,3","198,08","30,56","87,23","735,85","15,0","245,51","431,57","1180,57","578,12","4,07","2,34","15,51","22,65","252,39","0,11","1,09","2,65","2,99","1,18","144,26","56,3","0,7","880,8","208,01","-0,44","19,81","497,97","43,91","20,36","487,52","28,62","-0,72","0,9","361,34","25,98","91,89","56,8","0,71"
Salad Sayur,"484,4","2352,71","20,4","181,52","108,4","199,48","31,6","88,46","735,92","15,86","244,81","432,63","1179,86","579,09","4,09","2,17","15,96","23,03","251,84","1,15","0,13","2,81","3,69","2,08","145,6","55,39","-0,46","882,16","208,12","0,56","19,17","498,53","42,68","20,21","486,43","27,47","-0,44","-0,18","361,03","26,71","92,61","56,75","-0,21"
Salad Sayur,"486,17","2352,23","19,56","182,35","107,33","199,25","30,06","88,2","735,77","14,71","244,53","431,63","1180,7","578,66","3,69","2,03","14,1","23,47","253,09","-0,43","1,1","4,14","3,19","2,69","145,77","56,14","0,98","880,86","208,23","0,55","20,98","497,84","42,68","19,79","486,99","28,39","-0,23","0,31","359,97","26,53","90,85","57,88","-0,52"
Salad Sayur,"485,65","2352,8","20,72","182,54","107,33","198,39","30,19","87,75","735,24","14,3","245,75","431,28","1180,01","577,91","2,78","1,33","14,95","22,86","252,67","0,8","-0,22","3,36","1,81","1,92","144,23","55,69","0,7","880,76","209,59","0,15","19,31","497,49","43,29","19,46","487,62","27,37","-0,49","0,87","359,64","27,09","90,92","58,07","0,21"
Salad Sayur,"484,36","2353,03","20,32","182,23","108,61","199,74","30,43","87,7","735,97","14,9","245,36","432,46","1181,28","578,68","4,19","1,77","15,65","22,85","251,8","-0,32","0,47","3,59","3,36","1,91","145,6","56,36","0,69","882,01","209,64","0,42","20,57","497,95","42,33","20,34","486,66","27,89","-0,24","0,73","359,51","25,79","91,08","56,63","0,73"
Salad Sayur,"484,36","2353,44","19,51","182,03","107,15","198,13","30,52","88,83","735,13","14,89","245,71","432,26","1181,21","578,17","3,43","2,31","15,9","22,17","251,61","1,39","-0,35","3,06","2,18","1,0","145,01","57,06","-0,99","881,35","208,49","0,5","20,67","498,63","42,6","20,3","488,1","27,78","-0,37","0,45","359,47","25,67","91,91","56,56","-0,58"
Salad Sayur,"484,82","2352,98","20,53","183,18","108,72","198,96","30,43","88,57","736,84","14,8","244,66","431,33","1180,51","578,73","3,85","2,83","14,99","22,19","251,3","0,11","1,34","3,27","3,66","1,05","145,25","56,35","-0,56","881,04","209,57","-0,08","19,17","497,24","43,01","19,63","486,8","27,34","0,88","0,47","360,26","25,81","92,44","58,04","0,13"
