name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Sate Taichan,"610,45",1580,"71,67","24,24","262,86","320,05","60,7","132,07",1411,"25,81",508,990,"1965,658","264,391","5,42","3,376","28,022","77,8","118,6","0,802","1,21","16,218","6,545","3,265",173,269,"0,51","1312,496",146,9,32,719,68,40,948,"3,69",0,1,"338,3","6,951","7,609","7,345",86
Sate Taichan,"610,25","1579,91","72,24","23,33","262,54","319,7","60,6","131,07","1411,94","26,76","508,41","990,44","1965,29","264,83","5,55","3,88","27,29","77,39","117,77","0,73","2,16","16,48","5,83","3,44","173,91","268,95","1,43","1313,08","145,48","9,71","31,5","719,65","67,39","39,97","947,61","3,78","0,83","0,63","338,77","7,4","8,15","7,6","85,59"
Sate Taichan,"610,21","1579,4","71,87","25,04","262,95","319,74","61,55","132,38","1411,01","26,02","508,56","990,51","1965,85","264,86","6,02","3,15","27,39","77,71","118,88","0,27","1,0","16,93","7,26","3,03","173,35","268,62","-0,23","1311,97","145,93","8,65","32,34","719,53","68,27","39,86","947,04","2,92","-0,39","0,33","337,36","6,53","7,01","6,65","85,26"
Sate Taichan,"610,33","1579,66","72,17","24,95","263,05","319,26","59,77","133,04","1410,05","25,64","507,9","989,85","1965,31","264,09","5,91","4,0","28,49","78,64","117,86","0,15","0,36","16,57","6,61","3,45","172,79","269,64","0,78","1312,76","145,36","9,55","31,56","719,99","67,2","40,51","947,09","3,97","-0,73","1,14","337,41","7,43","7,55","6,86","85,27"
Sate Taichan,"609,49","1579,29","72,5","24,43","263,06","319,63","60,7","132,39","1411,23","25,03","507,77","990,58","1966,5","264,11","4,71","3,01","28,44","77,01","118,29","1,16","0,72","15,34","6,12","4,16","172,04","269,76","-0,07","1312,63","145,31","9,61","32,49","718,51","68,59","40,16","948,5","4,14","0,21","1,49","338,76","7,71","6,82","7,99","86,89"
Sate Taichan,"609,99","1580,74","71,84","24,77","262,34","319,19","60,94","131,61","1410,56","26,4","507,34","989,44","1966,23","265,16","4,87","2,46","27,67","78,02","119,0","1,44","1,41","15,3","6,52","2,82","172,37","268,67","0,54","1313,46","145,64","8,23","32,12","719,97","68,89","39,5","947,62","3,51","-0,06","1,1","338,2","7,46","7,04","7,81","85,17"
Sate Taichan,"611,38","1580,44","71,75","23,85","262,81","320,39","60,59","132,01","1410,77","26,74","507,54","989,16","1965,13","264,39","5,9","3,85","28,9","78,73","118,96","0,35","1,44","15,88","7,17","3,25","173,44","269,72","-0,33","1312,82","145,29","9,19","31,72","719,25","68,89","40,94","948,01","3,62","-0,56","0,14","339,06","6,81","7,49","7,68","85,68"
Sate Taichan,"610,98","1579,32","71,66","23,93","262,21","320,06","61,42","133,04","1410,5","26,63","508,27","990,21","1965,98","263,78","5,18","2,66","28,87","78,57","119,45","-0,12","1,53","16,4","6,62","4,04","172,81","269,78","-0,33","1313,02","145,25","9,74","31,07","718,68","67,62","39,2","947,56","3,51","-0,5","0,77","338,13","6,88","6,94","6,4","85,16"
Sate Taichan,"610,67","1579,29","70,71","24,47","262,62","319,84","60,61","131,62","1411,67","25,69","508,77","989,6","1966,14","263,66","4,62","3,75","28,06","77,96","118,26","1,48","2,08","16,19","5,57","3,69","172,68","269,37","1,21","1313,2","145,71","9,94","31,81","718,36","67,47","39,52","947,41","2,74","-0,03","1,95","337,6","7,19","6,77","7,15","86,96"
Sate Taichan,"609,73","1579,74","70,89","24,07","262,47","320,23","59,85","131,5","1411,83","26,14","507,51","990,15","1966,5","264,97","6,4","2,98","27,19","78,12","119,36","0,11","2,11","16,95","6,55","4,22","172,43","268,61","1,31","1312,4","145,13","9,88","32,79","718,48","67,59","39,46","948,44","3,96","0,07","1,3","337,71","7,11","7,38","8,19","85,72"
Sate Kambing,"805,79",1231,"89,96","33,68","54,93","210,22","81,9","20,55",1512,"40,48",696,1413,"2194,596","295,38","14,77","3,282","17,933","87,3","172,9","0,947","1,323","19,764","4,71","2,922",181,247,"4,44","950,496",121,0,65,501,72,20,551,"2,64",0,0,"290,4","7,793","18,912","4,19",109
Sate Kambing,"805,41","1230,39","89,4","34,63","55,67","210,34","82,2","20,72","1511,37","40,6","696,19","1412,07","2195,44","294,43","13,79","3,75","17,61","86,33","173,73","1,67","2,27","19,93","3,93","3,8","181,35","246,42","3,57","951,25","121,67","0,88","65,76","501,33","72,03","19,05","551,94","2,08","-0,26","0,82","289,66","7,33","18,91","4,45","109,31"
Sate Kambing,"806,06","1230,41","89,06","33,98","54,87","209,47","82,56","20,2","1512,68","39,75","696,52","1412,3","2194,1","296,34","14,09","3,71","18,64","86,71","172,13","0,88","1,74","19,77","5,7","3,31","181,68","247,25","4,85","949,55","120,52","-0,99","65,91","500,9","71,62","19,3","550,11","1,91","-0,8","-0,72","289,77","7,93","18,52","3,96","108,31"
Sate Kambing,"806,09","1230,82","90,93","34,35","54,31","210,0","80,93","21,07","1512,73","40,77","695,85","1413,68","2194,4","294,69","15,3","2,71","18,52","86,86","172,76","1,25","0,77","20,11","4,93","2,66","180,45","247,71","4,53","950,59","121,26","-0,57","65,16","500,6","72,05","19,07","550,29","2,89","-0,08","0,57","290,76","8,59","19,35","5,09","109,74"
Sate Kambing,"806,54","1231,02","90,9","34,42","55,3","209,88","81,63","21,5","1512,41","40,84","696,01","1412,98","2193,73","296,17","14,92","2,49","17,36","87,2","172,5","0,7","2,1","20,39","4,29","3,23","181,58","247,62","3,82","951,06","121,45","-0,66","64,49","500,61","72,21","20,67","550,68","2,84","-0,87","-0,86","291,21","7,81","19,11","3,99","108,93"
Sate Kambing,"805,3","1231,77","90,91","32,76","55,56","210,24","82,71","20,15","1512,11","40,46","696,14","1413,13","2194,83","295,81","15,73","2,95","18,24","87,38","172,26","1,92","2,26","20,0","3,91","3,41","180,03","246,93","4,38","949,77","121,32","0,44","64,95","501,46","71,08","20,87","550,65","2,83","0,06","-0,17","290,73","8,13","19,85","4,93","109,8"
