name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Nagasari,"79,41",1753,"6,74","101,6",101,"211,26","4,7","113,92",37,"1,32",68,126,551,"44,758","1,04","0,233","1,304","17,2","10,9","0,184","0,092","3,346","1,052","0,676",30,"19,3",0,909,45,0,353,369,0,0,28,"16,18",0,0,"8,7","49,755","37,457","9,712",0
Nagasari,"79,73","1753,11","7,46","101,82","100,37","210,84","4,22","113,29","36,09","1,22","67,3","126,74","550,44","45,56","1,06","0,19","1,74","17,49","10,37","1,04","-0,57","4,05","1,06","0,19","30,22","19,37","0,52","908,34","44,02","0,01","352,96","369,37","-0,17","0,34","28,72","15,67","-0,59","-0,95","8,72","49,83","37,98","8,81","-0,69"
Nagasari,"78,79","1752,85","6,16","101,53","101,51","210,84","4,59","114,03","37,46","1,92","67,51","126,07","551,77","45,43","1,24","-0,43","1,83","17,97","9,97","-0,56","-0,25","3,37","2,01","1,61","29,17","19,47","0,45","908,78","45,97","-0,08","353,25","369,88","0,47","0,17","28,76","15,85","0,12","0,2","8,57","50,46","37,31","10,44","-0,3"
Nagasari,"78,67","1752,7","6,48","102,6","101,03","211,04","4,4","114,25","36,15","0,7","67,12","126,99","551,61","43,9","0,74","0,93","1,18","17,8","11,12","0,2","-0,81","3,84","1,69","0,65","30,33","20,26","0,54","908,9","44,9","-0,35","352,68","368,91","-0,8","-0,87","27,4","16,43","-0,14","-0,83","8,76","49,04","37,63","8,89","-0,15"
Nagasari,"79,28","1753,39","6,37","100,91","101,14","210,41","4,03","114,85","36,09","0,77","67,32","126,89","550,4","45,48","0,1","0,44","2,23","17,28","11,4","0,68","-0,49","3,08","1,27","0,4","30,71","18,63","0,52","909,1","44,75","-0,7","353,38","369,76","-0,72","-0,74","27,46","15,31","0,16","0,37","7,79","50,36","37,13","9,7","0,09"
Nagasari,"78,73","1754,0","7,72","101,63","101,15","212,05","4,33","113,74","37,14","1,93","67,52","125,4","551,09","44,26","0,69","0,77","0,39","17,76","9,95","-0,68","-0,57","3,45","1,2","1,33","29,12","19,71","0,79","908,54","46,0","0,25","352,84","369,95","0,46","0,05","27,96","15,42","0,96","-0,87","9,18","50,2","37,47","8,87","-0,79"
Nagasari,"80,27","1753,56","7,29","100,93","100,08","210,97","4,66","114,56","36,92","2,17","67,54","125,55","550,42","45,67","1,31","-0,0","1,79","17,5","11,28","-0,79","-0,29","2,5","1,72","0,92","29,05","18,44","0,28","909,04","45,64","-0,74","353,85","369,49","-0,85","0,97","27,5","15,24","0,83","0,37","7,81","49,58","36,9","8,94","-0,8"
Nagasari,"78,87","1752,84","5,75","101,69","101,08","212,19","5,51","113,21","36,51","1,73","67,44","126,09","550,84","44,97","1,64","-0,29","2,25","18,04","9,93","0,03","0,15","3,29","0,18","0,01","30,48","19,51","0,98","908,59","44,85","-0,27","353,36","369,63","0,16","0,07","27,16","16,08","0,8","-0,93","9,23","49,51","37,09","9,85","-0,57"
Nagasari,"79,06","1752,9","6,72","101,07","101,97","212,03","4,69","113,51","37,71","0,68","67,1","125,59","551,26","44,41","1,6","0,09","1,44","17,05","10,54","1,18","0,96","3,35","1,02","1,16","30,45","20,13","0,6","909,2","44,34","-0,89","352,61","369,46","-0,47","0,44","28,16","15,4","-0,22","0,27","7,9","50,36","37,02","8,89","0,73"
Nagasari,"79,7","1752,7","5,84","102,0","100,54","211,98","4,86","112,93","36,6","2,0","67,18","126,04","551,51","44,17","1,98","-0,27","1,22","17,67","11,82","0,28","-0,81","2,83","0,55","-0,01","29,4","19,69","-0,95","909,46","45,37","0,94","353,79","369,68","0,79","0,39","27,84","16,87","0,01","-0,23","9,11","49,74","37,85","10,71","-0,76"
Bakpao,"725,3",3060,"81,75","94,77","213,32","486,63","13,7","20,74","2271,364","29,99",299,"1056,918",1827,"2057,97","7,1","1,289","4,187","83,9","35,4","2,137","1,772","28,002","2,962","2,357",426,223,"1,18","312,499",719,695,63,264,0,0,"56,355","3,31","0,1",6,"10,2","55,112","24,319","7,344",300
Bakpao,"724,67","3059,66","81,3","93,81","214,15","485,77","13,16","21,21","2271,47","30,95","299,12","1056,07","1826,54","2057,2","8,07","0,47","3,67","82,92","34,89","3,04","1,34","28,24","3,06","2,02","425,73","223,24","1,04","313,28","719,71","694,64","63,64","264,36","0,95","0,04","56,01","3,1","-0,8","5,35","10,87","55,71","23,74","8,06","300,56"
Bakpao,"725,63","3059,83","81,5","93,93","213,54","485,94","14,1","20,11","2271,13","29,79","298,9","1057,74","1826,93","2057,16","6,93","1,48","3,59","83,3","35,33","1,82","2,53","27,04","1,99","1,52","425,37","222,29","1,27","313,13","718,91","695,05","62,59","264,31","0,32","0,79","55,98","4,0","-0,25","5,48","9,24","55,52","24,18","7,97","299,14"
