name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Ayam Cabe Ijo,581,1554,50,23,215,324,46,118,930,43,532,831,1988,249,10,2,53,89,98,0,0,20,4,3,191,100,1,2059,295,232,90,715,25,20,478,1,0,0,177,8,7,5,90
Ayam Cabe Ijo,581,1554,49,23,215,324,46,118,931,42,532,830,1988,249,11,3,53,90,98,1,1,21,5,2,191,101,2,2060,295,231,90,715,24,21,478,2,0,-1,178,8,7,6,90
Ayam Cabe Ijo,582,1554,51,24,215,325,47,118,929,44,531,832,1989,250,11,3,55,91,98,1,2,19,5,3,190,99,1,2058,294,232,90,716,24,20,479,1,0,0,178,8,8,6,90
Ayam Cabe Ijo,582,1554,50,23,214,324,46,119,930,42,531,832,1989,250,10,2,54,90,98,0,1,19,4,4,191,100,1,2059,295,233,89,714,24,19,479,2,0,0,177,8,8,7,89
Ayam Cabe Ijo,582,1554,50,25,215,325,47,119,930,43,532,830,1988,249,11,4,55,90,99,0,0,21,5,3,191,100,1,2059,295,233,89,715,25,21,478,3,1,-1,178,9,7,6,90
Ayam Cabe Ijo,583,1554,50,24,215,324,45,118,931,44,532,830,1988,249,11,3,54,90,98,0,2,19,5,2,190,101,2,2060,294,231,89,714,26,20,478,2,0,0,178,9,7,6,89
Ayam Cabe Ijo,582,1553,50,24,214,324,47,119,931,44,532,832,1989,250,10,3,54,90,99,1,1,20,4,2,190,101,2,2059,296,232,90,714,24,20,478,2,0,1,178,9,8,5,90
Ayam Cabe Ijo,581,1553,50,24,216,324,46,118,931,43,532,830,1988,249,10,3,54,90,99,1,1,21,5,3,191,101,2,2059,294,233,90,714,24,20,479,1,1,0,178,8,8,5,91
Ayam Cabe Ijo,582,1553,51,24,216,324,47,118,930,43,531,832,1988,250,11,3,54,90,98,0,1,20,5,4,191,101,2,2058,295,233,90,715,25,21,478,2,0,-1,177,8,8,5,91
Ayam Cabe Ijo,581,1553,51,23,216,324,47,119,929,43,532,830,1989,250,10,3,54,89,99,1,2,20,5,2,190,100,1,2059,295,232,90,715,26,19,478,1,0,0,177,8,7,5,90
