name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Ayam Cabe Ijo,"581,81",1554,50,"23,69","215,13","324,37","46,2","118,39",930,"43,2",532,831,"1988,649","249,516","10,47","2,721","53,592","89,9","98,5","0,625","0,875","20,045","4,507","3,036",191,100,"1,11",2059,295,232,90,715,25,20,478,"1,76",0,0,"177,7","8,492","7,415","5,679",90
Ayam Cabe Ijo,"581,37","1554,51","49,28","24,66","214,21","324,88","46,55","118,07","929,93","42,27","532,13","831,14","1988,78",249,"10,4","3,61","53,28","90,82","98,08","0,67","0,82","20,96","5,01","3,27","190,61","100,57","0,18","2059,25","294,69","232,64","89,69","714,66","24,98","20,63","477,25","2,51","-0,57","-0,63","178,16","8,94","6,88","5,63","90,55"
Ayam Cabe Ijo,"581,26","1553,22","49,22","23,81","215,49","324,25","45,83","117,79","929,75","43,34","532,84","830,56","1989,04","249,48",10,"2,37","54,08","89,41","97,73","0,33","1,2","19,41","4,79","2,72","190,73","100,03","0,22","2058,41","294,44","231,21","90,6","714,16","24,86","20,05","477,62","2,11","0,07","-0,63","178,61","9,4","8,2","5,57","89,91"
Ayam Cabe Ijo,"582,55","1554,7","50,5","23,21","215,96","325,29","45,86","118,15","930,14","43,23","532,46","831,24","1988,14","250,5","10,46","3,22","54,25","90,26","99,29","0,39","0,91","20,97","4,98","3,03","191,28","99,45","1,15","2059,51","295,42","232,54","90,86","715,42","24,39","19,09","477,4","2,41","-0,92","0,08","176,89","7,79","7,43","6,5","90,97"
Ayam Cabe Ijo,"582,33","1553,61","49,85","23,15","214,89","324,1","46,8","119,22","930,66","43,81","531,1","831,71","1988,73","248,68","10,32","3,16","53,98","89,73","98,74","-0,01","1,56","19,36","4,79","2,16","190,42","100,06","2,1","2059,79","294,26","232,88","89,44","715,1","24,72","19,06","478,5","1,39","-0,79","-0,1","176,94","9,27","6,92","4,68",91
Ayam Cabe Ijo,"582,53","1554,99","50,34","24,06","215,72","323,49","46,97","118,04","929,32","42,96","531,08","831,61","1988,92","248,84","9,48","2,72","52,67","89,06","98,28","0,8","1,75","19,55","4,03","3,78","190,41","99,68","0,58","2058,52","295,06","231,31","89,31","714,46","24,53","20,03","477,63","1,77","0,58","0,58","177,07","7,63","7,77","6,51","89,24"
Ayam Cabe Ijo,"582,44","1553,21","50,35","24,18","214,94","323,94","45,8","117,62","930,54","42,6","531,36","831,05","1987,77","249,64","11,19","3,3","52,84",89,98,"0,42","0,15","20,57","3,82","2,53","191,82","99,98","1,28","2059,44","295,65",232,"90,35","715,69","25,68","19,79","478,29","2,01","0,57","0,81","177,41","9,28","7,71","4,69","90,49"
Ayam Cabe Ijo,"581,57","1553,07","50,23","24,25","215,1","324,55","46,29","117,49","930,83","43,98","531,33","831,44","1987,89","249,68","10,75","3,62","53,7","90,07","98,91","0,4","1,85","20,06","4,99","2,79","191,98","99,07","1,27","2058,75","294,9","231,26","89,81","714,61","25,15","19,74","477,33","2,38",1,"0,92","177,29","8,98","7,1","6,29","89,28"
Ayam Cabe Ijo,"582,47",1554,"50,18","23,48","214,99","324,99","46,67","117,46","929,44","42,56","531,08","830,99","1988,79","249,77","10,58","2,98","53,16","89,05","99,25","1,33","1,59","19,07","4,14","3,14","191,35","99,54","1,49","2059,33","295,51","232,57","89,7","714,6","24,43","19,89","477,09","2,35","-0,28","0,93","178,58","8,42","7,85","5,51","90,6"
Ayam Cabe Ijo,"582,47","1553,85","50,72","23,36","214,16","324,88","46,34","118,72",931,"43,43","532,38","831,86","1987,69","249,34","10,33","3,28","53,06","89,07","98,97","-0,2","0,87","19,56","4,05","4,02","190,83","100,48","1,69","2058,84","294,92","231,54","90,59","714,95","25,75","20,5","478,12","2,7","0,57","0,58","177,58","8,49","6,99","6,6","89,76"
Chicken Katsu,"689,66",3386,"98,81","218,28","183,01","299,12","56,5","43,54",1554,"34,11",569,1426,"1875,658","1179,199","7,07","3,558","28,287","120,2",40,"1,685","2,394","24,884","8,199","3,212",359,"603,3","2,37","1845,571",1089,983,24,1243,59,40,1434,"29,28","3,3",135,"431,4","76,592","88,059","43,322",469
Chicken Katsu,"688,71","3385,58","98,11","217,82","182,12","298,88","55,57","43,1","1554,01","34,3","569,9","1426,24","1875,58","1179,44","6,18","3,87","28,84","120,34","40,31","2,51","2,09","24,08","8,11","3,48","358,67","603,88","2,15","1845,07","1089,81","983,79","24,1","1242,28","59,38","40,78","1434,28","29,42","2,58","135,3","431,64","76,3","88,67","43,4","468,42"
Chicken Katsu,"690,51","3386,01","98,66","217,99","182,24","298,72","56,5","42,58","1553,59","34,79","569,26","1426,71","1876,36","1178,56","7,07","2,99","28,25","119,59","39,77","0,7","3,17","24,1","8,63","2,56","359,88","602,72","1,99","1846,47","1089,71","983,3","24,86","1242,9","59,25","39,25","1434,19","28,75","3,72","135,1","432,37","75,89","88,69","43,33","468,83"
Chicken Katsu,"688,85","3385,15","99,58","218,15","182,3","299,28","56,97","44,53","1554,55","33,62","568,56","1425,94","1875,35","1179,11","6,58","3,58","28,04","120,97","39,22","2,67","2,55","24,13","7,81","4,14","359,18","603,46","1,73","1846,45","1088,44","982,17","23,43","1243,62","59,56","40,87","1434,59","28,43","3,7","134,44","431,15","76,64","87,33","43,63","468,29"
Chicken Katsu,"690,16","3385,41","98,85","217,5","182,82","299,06","56,6","43,56","1553,98","34,45","568,44","1426,23","1875,25","1179,46","6,62","4,08","29,04","120,57","40,05","2,11","3,1","24,76","8,59","3,41","359,34","603,97","2,58","1846,5","1088,69","982,89","23,49","1243,34","58,44","39,22","1434,68","29,08","2,5","135,53","430,98","75,77","88,31","43,3","468,86"
Chicken Katsu,"689,07","3385,41","98,74","218,25","183,05","298,99","55,88","42,68","1554,51","34,24","568,21","1425,88","1876,25","1179,51","6,3","4,55","27,48","120,64","39,73","2,52","3,08","23,92","8,97","2,44","358,12","602,92","1,74","1845,4","1089,39","983,22","23,1","1243,87","58,64","40,5","1433,78","30,15","3,26","135,71","431,44","77,12","88,66","44,06","468,1"
Chicken Katsu,"688,97","3386,87","98,4","217,97","182,34","298,67","55,65","42,72","1554,74","34,36","569,11","1425,56","1875,62","1178,56","7,48","3,05","28,84","119,89","39,46","1,84","3,35","24,13","8,13","3,92","359,97","603,66","1,97","1845,16","1089,96","982,56","23,09","1242,59","58,66","39,61","1434,17","29,47","3,21","135,85","431,18","76,3","87,53","43,53","469,63"
Chicken Katsu,"689,99","3386,14","99,77","217,92","182,51","298,15","56,23","43,54","1554,5","34,14","569,67","1425,07","1874,8","1180,19","6,18","2,75","27,58","120,64","39,14","1,79","3,19","24,99","7,98","3,25","359,45","603,05","1,71","1844,6","1089,22","983,57","23,53","1242,01","58,12","39,15","1434,39","30,03","3,39","135,61","430,79","76,99","87,89","42,73","468,86"
Chicken Katsu,"690,29","3385,51","97,83","218,79","183,34","299,05","56,31","44,24","1554,29","34,4","568,56","1425,83","1875,97","1178,5","8,01","3,67","27,93","119,95","40,64","2,66","2,45","25,07","9,18","3,47","359,28","602,7","2,81","1846,25","1089,97","983,32","23,61","1242,21","59,28","40,3","1433,68","29,05","4,24","134,42","430,53","76,73","88,81","43,49","469,79"
Chicken Katsu,"689,63","3386,31","98,66","217,59","182,66","298,45","56,92","43,14","1553,43","34,04","568,39","1426,26","1874,66","1178,35","7,01","4,05","28,76","120,97","40,83","1,9","1,47","24,26","8,06","3,55","359,09","603,25","2,9","1846,24","1089,48","982,3","24,77","1242,97","58,52","40,5","1433,56","30,25","2,68","134,76","430,46","76,63","88,08","43,97","468,75"
Ayam Penyet,"680,23",2586,"96,23","172,57","220,02","231,63","58,4","14,28",1779,"41,5",843,1780,"2245,991","460,516","13,36","3,16","37,058","109,5","218,2","1,206","1,399","13,29","2,399","4,584",226,"214,3","0,7","708,496",128,23,0,59,0,0,148,"16,61","0,1",3,"22,7","62,085","65,682","32,91",98
