,name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
0,Ayam Cabe Ijo,909.08,24.28,0.78,37.02,336.14,506.83,7.22,184.98,14.53,6.75,8.31,12.98,31072.64,3898.69,16.36,42.52,837.38,14.05,15.39,9.77,13.67,313.2,70.42,47.44,2.98,1.56,1.73,32.17,4.61,3.62,1.41,11.17,0.39,0.31,7.47,2.75,0.0,0.0,27.77,132.69,115.86,88.73,1.41
1,Chicken Katsu,17241.5,846.5,2470.25,5457.0,4575.25,7478.0,141.25,1088.5,388.5,852.75,142.25,356.5,468914.5,294799.75,176.75,889.5,7071.75,300.5,10.0,421.25,598.5,6221.0,2049.75,803.0,89.75,1508.25,59.25,461392.75,272.25,245.75,6.0,310.75,14.75,10.0,358.5,732.0,8.25,33.75,1078.5,19148.0,22014.75,10830.5,117.25
2,Ayam Penyet,17005.75,646.5,2405.75,4314.25,5500.5,5790.75,146.0,357.0,444.75,103.75,210.75,445.0,561497.75,115129.0,334.0,79.0,9264.5,273.75,545.5,301.5,349.75,332.25,599.75,1146.0,56.5,535.75,1.75,177124.0,32.0,5.75,0.0,14.75,0.0,0.0,37.0,415.25,0.25,0.75,56.75,15521.25,16420.5,822.75,24.5
3,Egg Chicken Roll,3093.62,166.69,263.19,1380.75,1285.81,851.62,5.25,66.81,28.12,97.44,6.75,44.0,81.12,29594.75,30.81,51.06,199.12,51.12,30.69,81.12,96.38,563.94,283.31,123.69,22.88,400.31,11.12,69210.81,77.38,20.0,217.31,892.81,1.12,0.06,801.81,132.0,0.25,10.25,52.75,4377.81,5257.38,3483.31,46.5
4,Ayam Saus Inggris,3599.06,152.25,299.81,770.94,768.81,2030.12,27.62,825.19,53.81,210.88,29.19,44.94,75040.56,68343.19,5.06,157.38,3008.88,58.19,47.56,31.69,62.31,1329.25,240.81,176.5,7.25,64.56,9.5,121.0,18.06,14.5,0.75,42.5,1.56,2003.88,39.69,117.25,0.0,0.0,111.38,3607.94,2776.12,925.81,5.62
5,Ayam Geprek Keju,2857.88,205.62,900.31,957.44,207.94,2515.5,58.25,99.12,13757.12,367.94,60.06,155.56,89283.38,99704.62,124.0,31.0,2544.25,115.31,117.88,135.25,281.69,1903.94,567.38,403.81,33.0,386.44,16.0,161433.69,36.81,27.38,2.56,39447.0,3.94,2.5,91464.25,185.5,1.75,7.0,213.19,4456.38,3252.81,1265.06,31.31
6,Omelet Mie,2790.38,177.06,325.75,1455.5,693.31,948.56,2.06,61.94,39.88,14.12,12.69,53.56,77.25,122797.38,47.12,102.12,441.69,45.94,45.31,27.25,57.75,321.0,191.0,131.56,9.75,258.94,19.44,43202.38,68.31,59.81,0.69,39.31,1.25,0.94,351.81,172.94,1.62,6.69,95.31,5245.56,608.25,2383.62,30.25
7,Ayam Gepuk,5718.0,3075.0,9155.0,8075.0,27514.0,58125.0,947.0,26057.0,2548.0,10155.0,1102.0,1706.0,2443311.0,568391.0,1908.0,3024.0,74402.0,1633.0,2291.0,106.0,2161.0,26968.0,2443.0,5908.0,434.0,311.0,172.0,1457185.0,599.0,261.0,0.0,29.0,0.0,0.0,140.0,471.0,41.0,163.0,30.0,21326.0,32863.0,18172.0,115.0
8,Ayam Barbeque,1615.76,136.12,183.48,807.52,110.32,1663.72,30.16,945.32,3521.12,180.44,20.92,29.92,98373.16,95805.24,33.12,101.88,683.24,32.84,39.16,44.64,50.44,415.16,12.28,159.48,14.28,6.56,3.84,60085.04,64.64,54.6,0.52,45.24,2.16,1464.48,37.6,34.36,0.04,0.12,75.08,4655.4,2201.0,562.2,21.12
9,Iga Penyet,4598.81,157.88,563.62,469.94,1457.19,2909.94,70.81,259.75,158.56,762.62,81.25,113.06,183289.44,34719.75,160.56,24.25,6842.38,124.25,252.31,78.0,126.62,2143.88,194.56,512.81,28.06,12.06,12.44,124480.06,36.75,7.81,2.25,36.62,2.5,0.0,47.31,17.94,1.38,5.44,2.12,1555.81,1975.31,711.69,4.69
