,name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
0,Ayam Cabe Ijo,58181,1554,50,2369,21513,32437,462,11839,930,432,532,831,1988649,249516,1047,2721,53592,899,985,625,875,20045,4507,3036,191,100,111,2059,295,232,90,715,25,20,478,176,0,0,1777,8492,7415,5679,90
1,Ayam Cabe Ijo,58208,155449,4929,2376,21568,3250,4559,11885,93031,4295,53176,83005,198802,2495,973,20,5432,892,9927,46,18,1923,379,365,19102,9918,206,205838,29575,23187,8995,71451,2458,1996,47894,131,-61,15,17865,794,841,513,9073
2,Ayam Cabe Ijo,58093,15538,4955,242,21538,32515,462,11936,93057,4341,53147,83172,198769,25012,978,244,5374,8963,9784,16,116,2064,417,355,19129,10033,13,205928,29587,23135,9015,7149,2469,2056,4787,163,-65,8,17722,869,754,517,9081
3,Ayam Cabe Ijo,58104,155426,4955,2323,2155,32384,4553,11916,93047,4221,53255,83127,198819,24993,1038,311,5309,8952,9824,-1,116,2063,464,382,19135,10069,12,205983,29435,23271,8901,71574,2569,2058,4771,221,-7,65,17775,828,827,532,8958
4,Ayam Cabe Ijo,58189,155399,4986,2412,21553,32409,4544,11757,92951,4251,53298,83011,198778,24882,1024,194,5353,9023,9946,17,-7,1933,397,258,19144,996,158,205902,29443,23221,9049,71504,2434,1943,47895,251,-73,77,17784,946,681,609,9002
5,Ayam Cabe Ijo,58116,155375,5014,2335,21458,32466,4703,11831,93013,4273,53208,83143,19891,24981,1066,324,5396,8992,9821,83,79,2036,464,258,19108,10094,19,205947,29469,23132,9003,71462,2507,1909,47732,267,-23,18,17835,842,673,641,8991
6,Ayam Cabe Ijo,58105,155491,5067,2332,21544,32418,4559,11829,93039,4407,53217,8308,198844,24877,996,236,5285,8902,9909,114,117,1921,423,206,19081,10085,196,205884,29521,23112,9059,71466,2417,2042,47776,151,-17,-46,1767,938,802,584,8931
7,Ayam Cabe Ijo,58092,155448,4962,245,21551,32492,4544,11893,92915,4415,53229,83043,19878,24964,1034,335,5266,8982,9807,116,58,1924,455,271,19153,992,123,205983,2957,23189,902,71573,2509,2055,47716,139,-25,57,17708,784,698,556,8916
8,Ayam Cabe Ijo,58269,155303,4939,2331,21565,32533,4704,1179,92908,4338,53134,8316,198821,24932,1105,337,5335,8937,9872,-36,21,2051,418,384,19115,10019,125,205989,29523,23209,8975,71507,247,2068,47861,121,-87,66,17863,851,756,586,8938
9,Ayam Cabe Ijo,5822,155362,4989,2406,21454,3249,4544,11892,92946,4418,53225,83095,198856,24861,109,296,5316,8955,9836,115,89,1918,388,329,19191,9927,12,205835,29496,23192,9058,7150,2517,1977,47779,186,-93,-98,17739,903,834,60,8989
10,Chicken Katsu,68966,3386,9881,21828,18301,29912,565,4354,1554,3411,569,1426,1875658,1179199,707,3558,28287,1202,40,1685,2394,24884,8199,3212,359,6033,237,1845571,1089,983,24,1243,59,40,1434,2928,33,135,4314,76592,88059,43322,469
11,Chicken Katsu,68936,338528,9798,21821,18374,2988,5633,4376,155394,3357,5683,142608,187568,117999,633,41,2774,12026,3906,8,224,2472,781,249,35936,60298,283,184654,108879,98379,2428,124374,598,4087,143347,2968,297,13562,43111,7644,8765,4383,46963
12,Chicken Katsu,68897,338514,9905,21926,18238,29922,5665,4349,155318,3472,56988,142563,187554,117965,648,392,2832,12006,3942,197,266,2526,773,363,35839,60338,171,184593,108922,98378,234,124343,5803,4049,14338,3017,252,13459,43048,7593,8733,4339,46924
13,Chicken Katsu,68906,338642,9876,21751,18256,29855,5704,4322,155313,3323,56977,142555,187471,117991,705,302,2755,12041,4013,143,231,2568,893,352,35917,60281,293,184468,108965,98226,2436,124206,5966,4086,143445,3008,295,13558,4311,7699,881,4371,46856
14,Chicken Katsu,68977,338582,9938,21794,18376,29907,5748,4378,155395,3359,56845,142601,187578,117907,669,327,2748,12094,4047,9,21,249,875,343,35989,60367,329,184615,108965,9833,2303,12439,5867,3911,143441,2873,332,13554,43133,7662,8764,4309,46946
15,Chicken Katsu,68896,338624,979,21733,18312,29825,563,438,155487,3402,56938,142657,187583,117996,609,35,2828,11969,3933,8,279,2425,811,293,35955,60256,278,184468,108958,98203,2413,12428,5819,4099,143455,2867,271,13446,43089,775,8713,4354,46882
16,Chicken Katsu,68909,338504,9874,21823,18332,29981,5701,4444,15548,3362,56802,142678,187584,117894,626,359,2749,12073,4046,179,253,2423,778,27,3593,60231,175,184487,108998,98269,2487,12434,5992,4001,143307,2853,414,1352,43183,7692,879,4356,46827
17,Chicken Katsu,68885,338646,9954,21783,18384,2996,5629,4305,155495,3379,56988,142509,187491,117939,653,44,2796,12061,3984,252,184,2452,913,30,35848,60289,314,184509,108878,98325,2324,124216,5935,4061,143322,3001,237,13456,43051,7729,8808,432,46876
18,Chicken Katsu,68926,338553,9941,21808,18322,29816,5578,4293,15544,3387,56808,142622,187638,117954,732,401,2758,12011,3982,119,171,2467,871,265,35891,60422,304,184468,108851,98359,2426,124377,585,3938,143459,2871,309,13452,43228,7574,8863,441,46928
19,Chicken Katsu,68943,338688,9863,21769,18361,29834,5621,4403,155348,346,56933,142508,187656,117964,612,432,2802,12049,3923,92,22,2485,816,337,35959,60411,207,184494,108955,98211,2423,124249,597,4057,143356,3004,298,13556,43178,7718,8725,4399,46856
20,Ayam Penyet,68023,2586,9623,17257,22002,23163,584,1428,1779,415,843,1780,2245991,460516,1336,316,37058,1095,2182,1206,1399,1329,2399,4584,226,2143,7,708496,128,23,0,59,0,0,148,1661,1,3,227,62085,65682,3291,98
21,Ayam Penyet,67976,258513,9578,17342,21926,23115,576,1422,17796,4117,84214,177954,224569,46068,1386,247,3696,10868,21725,69,68,1308,209,366,22611,21457,144,70932,12735,2383,-74,5955,-3,1,14745,1718,-56,337,2287,6167,6507,3298,987
22,Ayam Penyet,67978,258548,964,17179,22045,23111,5769,1442,177833,4156,8437,178035,224585,46061,1381,338,3655,1088,21849,8,176,1403,189,374,22505,21448,51,70751,12759,2298,96,5938,-29,62,14886,1623,-7,291,2239,6231,647,3384,9757
23,Ayam Penyet,68042,258654,9721,17258,21905,23223,5867,1403,177859,4165,84248,17805,224553,46131,1374,375,3786,11022,21888,59,194,1419,259,494,22574,21469,57,7076,12842,2382,-77,5863,22,39,14741,166,63,348,2212,6266,6606,3273,9892
24,Ayam Penyet,67999,258667,9576,17226,21991,23105,5771,1421,177972,4076,84201,178048,224594,45966,1426,411,3615,11003,21798,95,4,1389,207,532,22695,21468,146,70767,12775,2377,-3,5887,74,-64,1489,1644,66,371,2286,6264,6605,3357,9853
25,Ayam Penyet,68074,258685,9604,17286,21927,23248,5845,1484,177865,4199,84263,178026,224555,46045,1351,408,3716,10946,21854,59,167,1317,197,552,22645,21517,21,70877,12811,2336,11,5903,-52,16,14857,1733,105,355,228,6131,648,3357,986
26,Ayam Penyet,68079,258556,9691,17206,22025,23242,5795,1329,177946,4064,8420,178019,22455,45979,1293,25,3783,10932,21919,69,206,1321,205,455,22559,21388,155,70799,12791,2307,62,5816,89,-34,14787,1708,-43,345,2199,6225,6656,3275,9828
27,Ayam Penyet,68098,258591,9542,17326,22093,23257,586,1518,177917,4171,84392,17798,224544,46039,1249,299,3736,10976,21865,21,76,1257,237,543,22513,21442,109,70827,12822,2379,4,5971,-56,-63,14852,1713,-59,217,2215,6141,6652,3316,9775
28,Ayam Penyet,67946,258621,9551,17306,2193,23089,5781,1508,177931,4162,84397,177943,224617,4613,1373,295,3659,11032,21856,14,111,1415,177,389,22565,21514,118,70922,12744,2298,7,5989,-72,-56,1486,1583,33,288,2264,6294,6628,3261,9814
29,Ayam Penyet,6811,258572,9702,17194,22088,2321,5891,1482,17800,4223,84228,178044,22465,45988,1388,39,3741,10878,21749,5,201,1272,17,387,22663,2144,5,70947,12703,2381,68,583,78,84,14787,1742,84,278,2329,6188,6527,3337,9818
30,Egg Chicken Roll,49498,2667,4211,22092,20573,13626,84,1069,450,1559,108,704,1298,473516,493,817,3186,818,491,1298,1542,9023,4533,1979,366,6405,178,1107373,1238,320,3477,14285,18,1,12829,2112,4,164,844,70045,84118,55733,744
31,Egg Chicken Roll,49478,266774,423,22071,20627,13582,924,1072,44952,1577,10756,70488,129741,47389,442,114,321,8225,4877,35,184,875,414,275,3663,63961,148,110732,123825,31949,389,147,1718,93,128253,2024,389,16459,8427,7017,8481,5502,74439
