1,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mentega, asin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,87",717,"0,85","81,11","2,11","0,06",-,"0,06",24,"0,02",2,24,24,643,"0,09",-,-,"1,0",-,"0,005","0,034","0,042","0,110","0,003",3,19,"0,17","Mentega, asin",2.499,684,671,-,158,-,-,-,"2,32",-,-,"7,0","51,368","21,021","3,043","215,00",USDA
2,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mentega, kocok, dengan garam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16,72",718,"0,49","78,30","1,62","2,87",-,"0,06",23,"0,05",1,24,41,583,"0,05","0,010","0,001",-,-,"0,007","0,064","0,022","0,097","0,008",4,19,"0,07","Mentega, kocok, dengan garam",2.468,683,671,1,135,6,-,13,"1,37",-,-,"4,6","45,390","19,874","3,331","225,00",USDA
3,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minyak mentega, tidak mengandung air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0,24",876,"0,28","99,48",-,-,-,-,4,-,-,3,5,2,"0,01","0,001",-,-,-,"0,001","0,005","0,003","0,010","0,001",-,22,"0,01","Minyak mentega, tidak mengandung air",3.069,840,824,-,193,-,-,-,"2,80",-,-,"8,6","61,924","28,732","3,694","256,00",USDA
4,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keju, biru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42,41",353,"21,40","28,74","5,11","2,34",-,"0,50",528,"0,31",23,387,256,1.146,"2,66","0,040","0,009","14,5",-,"0,029","0,382","1,016","1,729","0,166",36,15,"1,22","Keju, biru",721,198,192,-,74,-,-,-,"0,25","0,5",21,"2,4","18,669","7,778","0,800","75,00",USDA
5,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keju, batu bata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41,11",371,"23,24","29,68","3,18","2,79",-,"0,51",674,"0,43",24,451,136,560,"2,60","0,024","0,012","14,5",-,"0,014","0,351","0,118","0,288","0,065",20,15,"1,26","Keju, batu bata",1.08,292,286,-,76,-,-,-,"0,26","0,5",22,"2,5","18,764","8,598","0,784","94,00",USDA
6,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keju, brie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48,42",334,"20,75","27,68","2,70","0,45",-,"0,45",184,"0,50",20,188,152,629,"2,38","0,019","0,034","14,5",-,"0,070","0,520","0,380","0,690","0,235",65,15,"1,65","Keju, brie",592,174,173,-,9,-,-,-,"0,24","0,5",20,"2,3","17,410","8,013","0,826","100,00",USDA
7,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keju, camembert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51,80",300,"19,80","24,26","3,68","0,46",-,"0,46",388,"0,33",20,347,187,842,"2,38","0,021","0,038","14,5",-,"0,028","0,488","0,630","1,364","0,227",62,15,"1,30","Keju, camembert",820,241,240,-,12,-,-,-,"0,21","0,4",18,"2,0","15,259","7,023","0,724","72,00",USDA
8,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keju, jintan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39,28",376,"25,18","29,20","3,28","3,06",-,-,673,"0,64",22,490,93,690,"2,94","0,024","0,021","14,5",-,"0,031","0,450","0,180","0,190","0,074",18,-,"0,27","Keju, jintan",1.054,271,262,-,-,-,-,-,-,-,-,-,"18,584","8,275","0,830","93,00",USDA
9,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keju, cheddar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37,02",404,"22,87","33,31","3,71","3,09",-,"0,48",710,"0,14",27,455,76,653,"3,64","0,030","0,027","28,5",-,"0,029","0,428","0,059","0,410","0,066",27,17,"1,10","Keju, cheddar",1.242,330,330,-,85,-,-,-,"0,71","0,6",24,"2,4","18,867","9,246","1,421","99,00",USDA
10,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keju, Cheshire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37,65",387,"23,37","30,60","3,60","4,78",-,-,643,"0,21",21,464,95,700,"2,79","0,042","0,012","14,5",-,"0,046","0,293","0,080","0,413","0,074",18,-,"0,83","Keju, Cheshire",985,233,220,-,-,-,-,-,-,-,-,-,"19,475","8,671","0,870","103,00",USDA
11,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keju, colby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38,20",394,"23,76","32,11","3,36","2,57",-,"0,52",685,"0,76",26,457,127,604,"3,07","0,042","0,012","14,5",-,"0,015","0,375","0,093","0,210","0,079",18,15,"0,83","Keju, colby",994,264,257,-,82,-,-,-,"0,28","0,6",24,"2,7","20,218","9,280","0,953","95,00",USDA
12,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keju, cottage, krim, dadih besar atau kecil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
