No,Nama,URL Asli,Likes,Done,Worker,Explanation
1,Dangkot Ayam,https://resepkoki.id/resep/resep-dangkot-ayam/,1679,No,,
2,Tangsuyuk Sapi,https://resepkoki.id/resep/resep-tangsuyuk-sapi/,1510,No,,
3,Ayam Kecap Pedas,https://resepkoki.id/resep/resep-ayam-kecap-pedas/,1831,No,,
4,Chicken Basil Thai,https://resepkoki.id/resep/resep-chicken-basil-thai/,1269,No,,
5,Ayam Geprek Keju,https://resepkoki.id/resep/resep-ayam-geprek-keju/,1233,Yes,Christina,
6,Dumpling Ayam Kukus,https://resepkoki.id/resep/resep-dumpling-ayam-kukus/,1375,No,,
7,Kekian Ayam Udang,https://resepkoki.id/resep/resep-kekian-ayam-udang/,1580,No,,
8,Yakitori Ayam,https://resepkoki.id/resep/resep-yakitori-ayam/,1552,Yes,Ling,
9,Ayam Kecap Kuah,https://resepkoki.id/resep/resep-ayam-kecap-kuah/,1124,No,,
10,Ayam Telur Asin,https://resepkoki.id/resep/resep-ayam-telur-asin/,1633,Yes,Ling,
11,Korean Spicy Chicken,https://resepkoki.id/resep/resep-korean-spicy-chicken/,1657,Yes,Ling,
12,Bubur Ayam Quaker Oat,https://resepkoki.id/resep/resep-bubur-ayam-quaker-oat/,1763,No,,
13,Nasi Jinggo,https://resepkoki.id/resep/resep-nasi-jinggo/,1746,Yes,Ling,
14,Lidah Sapi Cabe hijau,https://resepkoki.id/resep/resep-lidah-sapi-cabe-hijau/,1066,No,,
15,Burrito Ayam,https://resepkoki.id/resep/resep-burrito-ayam/,1369,No,,
16,Saksang Ayam,https://resepkoki.id/resep/resep-saksang-ayam/,1517,No,,
17,Pempek Ayam,https://resepkoki.id/resep/resep-pempek-ayam/,1090,No,,
18,Burung Puyuh Bakar,https://resepkoki.id/resep/resep-burung-puyuh-bakar/,1572,No,,
19,Ayam Kuah Hitam,https://resepkoki.id/resep/resep-ayam-kuah-hitam/,1233,No,,
20,Ayam Goreng Oatmeal,https://resepkoki.id/resep/resep-ayam-goreng-oatmeal/,1359,No,,
21,Ayam Goreng Sasando,https://resepkoki.id/resep/resep-ayam-goreng-sasando/,1774,No,,
22,Ayam Bakar Bumbu Rujak,https://resepkoki.id/resep/resep-ayam-bakar-bumbu-rujak/,1374,No,,
23,Ayam Bakar Lumajang,https://resepkoki.id/resep/resep-ayam-bakar-lumajang/,1035,No,,
24,Ayam Bumbu Rajang (Khas Lombok),https://resepkoki.id/resep/resep-ayam-bumbu-rajang-khas-lombok/,1302,No,,
25,Kalio Daging Sapi,https://resepkoki.id/resep/resep-kalio-daging-sapi/,1062,No,,
26,Tum Ayam,https://resepkoki.id/resep/resep-tum-ayam/,1778,No,,
27,Gore Gore,https://resepkoki.id/resep/resep-gore-gore/,1327,No,,
28,Tahu Campur,https://resepkoki.id/resep/resep-tahu-campur/,1274,No,,
29,Bakso Keju,https://resepkoki.id/resep/resep-bakso-keju/,1548,No,,
30,Ayam Panggang Pecel,https://resepkoki.id/resep/resep-ayam-panggang-pecel/,1024,No,,
31,Sepat Ayam,https://resepkoki.id/resep/resep-sepat-ayam/,1571,No,,
32,Nasi Briyani Ayam,https://resepkoki.id/resep/resep-nasi-briyani-ayam/,1154,No,,
33,Ayam Kodok,https://resepkoki.id/resep/resep-ayam-kodok/,1122,No,,
34,Ayam Kecap Jahe,https://resepkoki.id/resep/resep-ayam-kecap-jahe/,1544,No,,
35,Oseng Tahu Udang,https://resepkoki.id/resep/resep-oseng-tahu-udang/,1601,No,,
36,Daging Bumbu Bali,https://resepkoki.id/resep/resep-daging-bumbu-bali/,1752,No,,
37,Ayam Bakar Klaten,https://resepkoki.id/resep/resep-ayam-bakar-klaten/,1745,No,,
38,Ayam Goreng Cabe,https://resepkoki.id/resep/resep-ayam-goreng-cabe/,1763,No,,
39,Ayam Kare Jawa,https://resepkoki.id/resep/resep-ayam-kare-jawa/,1880,No,,
40,Dendeng Lambok,https://resepkoki.id/resep/resep-dendeng-lambok/,1581,No,,
41,Ayam Panggang Lada Hitam,https://resepkoki.id/resep/resep-ayam-panggang-lada-hitam/,1558,No,,
42,Pallu Basa,https://resepkoki.id/resep/resep-pallu-basa/,1197,No,,
43,Ayam Goreng Bawang,https://resepkoki.id/resep/resep-ayam-goreng-bawang/,1187,No,,
44,Sayap Ayam Isi,https://resepkoki.id/resep/resep-sayap-ayam-isi/,1458,No,,
45,Nasi Bebek,https://resepkoki.id/resep/resep-nasi-bebek/,1464,Yes,Christina,
46,Ayam Panggang Madu,https://resepkoki.id/resep/resep-ayam-panggang-madu/,1552,No,,
47,Tumis Ayam Cincang Nanas Paprika,https://resepkoki.id/resep/resep-tumis-ayam-cincang-nanas-paprika/,1600,No,,
48,Ayam Tangkap,https://resepkoki.id/resep/resep-ayam-tangkap/,1175,No,,
49,Sop Buntut Bakar,https://resepkoki.id/resep/resep-sop-buntut-bakar/,1493,Yes,Ling,
50,Siomay Udang Kuah Kaldu,https://resepkoki.id/resep/resep-siomay-udang-kuah-kaldu/,1525,No,,
51,Batagor Kuah,https://resepkoki.id/resep/resep-batagor-kuah/,1533,No,,
52,Ayam Goreng Terasi,https://resepkoki.id/resep/resep-ayam-goreng-terasi/,1539,No,,
53,Ayam Suwir Cabe Ijo,https://resepkoki.id/resep/resep-ayam-suwir-cabe-ijo/,1553,No,,
54,Ayam Rebus Bumbu,https://resepkoki.id/resep/resep-ayam-rebus-bumbu/,1167,No,,
55,Ayam Saus Inggris,https://resepkoki.id/resep/resep-ayam-saus-inggris/,1170,Yes,Christina,
56,Ayam Bekakak,https://resepkoki.id/resep/resep-ayam-bekakak/,1370,No,,
57,Gadon Daging,https://resepkoki.id/resep/resep-gadon-daging/,1398,No,,
58,Kalio Ayam,https://resepkoki.id/resep/resep-kalio-ayam/,1364,No,,
59,Sambal Goreng Hati Sapi,https://resepkoki.id/resep/resep-sambal-goreng-hati-sapi/,1362,No,,
60,Iga Penyet,https://resepkoki.id/resep/resep-iga-penyet/,1341,Yes,Ling,
