name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Ayam Cabe Ijo,58181,1554,50,2369,21513,32437,462,11839,930,432,532,831,1988649,249516,1047,2721,53592,899,985,625,875,20045,4507,3036,191,100,111,2059,295,232,90,715,25,20,478,176,0,0,1777,8492,7415,5679,90
Chicken Katsu,68966,3386,9881,21828,18301,29912,565,4354,1554,3411,569,1426,1875658,1179199,707,3558,28287,1202,40,1685,2394,24884,8199,3212,359,6033,237,1845571,1089,983,24,1243,59,40,1434,2928,33,135,4314,76592,88059,43322,469
Ayam Penyet,68023,2586,9623,17257,22002,23163,584,1428,1779,415,843,1780,2245991,460516,1336,316,37058,1095,2182,1206,1399,1329,2399,4584,226,2143,7,708496,128,23,0,59,0,0,148,1661,1,3,227,62085,65682,3291,98
Egg Chicken Roll,49498,2667,4211,22092,20573,13626,84,1069,450,1559,108,704,1298,473516,493,817,3186,818,491,1298,1542,9023,4533,1979,366,6405,178,1107373,1238,320,3477,14285,18,1,12829,2112,4,164,844,70045,84118,55733,744
Ayam Saus Inggris,57585,2436,4797,12335,12301,32482,442,13203,861,3374,467,719,1200649,1093491,81,2518,48142,931,761,507,997,21268,3853,2824,116,1033,152,1936,289,232,12,680,25,32062,635,1876,0,0,1782,57727,44418,14813,90
Ayam Geprek Keju,45726,3290,14405,15319,3327,40248,932,1586,220114,5887,961,2489,1428534,1595274,1984,496,40708,1845,1886,2164,4507,30463,9078,6461,528,6183,256,2582939,589,438,41,631152,63,40,1463428,2968,28,112,3411,71302,52045,20241,501
Omelet Mie,44646,2833,5212,23288,11093,15177,33,991,638,226,203,857,1236,1964758,754,1634,7067,735,725,436,924,5136,3056,2105,156,4143,311,691238,1093,957,11,629,20,15,5629,2767,26,107,1525,83929,9732,38138,484
Ayam Gepuk,5718,3075,9155,8075,27514,58125,947,26057,2548,10155,1102,1706,2443311,568391,1908,3024,74402,1633,2291,106,2161,26968,2443,5908,434,311,172,1457185,599,261,0,29,0,0,140,471,41,163,30,21326,32863,18172,115
Ayam Barbeque,40394,3403,4587,20188,2758,41593,754,23633,88028,4511,523,748,2459329,2395131,828,2547,17081,821,979,1116,1261,10379,307,3987,357,164,96,1502126,1616,1365,13,1131,54,36612,940,859,1,3,1877,116385,55025,14055,528
Iga Penyet,73581,2526,9018,7519,23315,46559,1133,4156,2537,12202,1300,1809,2932631,555516,2569,388,109478,1988,4037,1248,2026,34302,3113,8205,449,193,199,1991681,588,125,36,586,40,0,757,287,22,87,34,24893,31605,11387,75
Korean Spicy Chicken,52863,4486,8633,26497,12673,48838,671,11492,1683,5986,858,1774,225232,1102491,1848,6562,43357,1791,973,2255,1739,34377,3654,3951,393,2185,78,893,57,16,63,472,0,12062,200355,2006,1,5,305,75366,98852,77636,70
Ayam Telur Asin,39575,2000,9912,4667,31921,32257,834,659,1359,5633,374,1659,1364,477761,1163,3534,1567,1647,965,1351,218,15671,7172,2617,387,1113,333,767043,536,535,38,12,42,0,1249,375,65,265,51,15096,1692,9102,1365
